"Idris","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","Metal Jacket","13"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","12"
"Catherine","captain",NULL,NULL,NULL,NULL,"12"
"Koshka","jungler",NULL,NULL,NULL,NULL,"12"
"Adagio","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","12"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Reflex Block","12"
"Taka","jungler","Lucky Strike","Travel Boots","Stormcrown","Shatterglass","12"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","Crucible","War Treads","12"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Travel Boots","12"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Coat of Plates","12"
"Idris","jungler","Sorrowblade","Tornado Trigger","Metal Jacket","Travel Boots","12"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","12"
"Catherine","jungler","Fountain of Renewal","Stormcrown","War Treads","Crucible","11"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","11"
"Ringo","carry","Sorrowblade","Tornado Trigger","Tyrant's Monocle","Travel Boots","11"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Tyrant's Monocle","11"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","11"
"Koshka","jungler","Aftershock","Aegis","Halcyon Chargers","Broken Myth","11"
"Glaive","jungler","Travel Boots","Sorrowblade","Tornado Trigger","Coat of Plates","11"
"Ardan","jungler","War Treads","Fountain of Renewal","Stormcrown","Crucible","11"
"Ardan","captain","Fountain of Renewal","Crucible","Atlas Pauldron","War Treads","11"
"Fortress","jungler","War Treads","Fountain of Renewal","Stormcrown","Crucible","11"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Metal Jacket","11"
"Ardan","captain","Fountain of Renewal","War Treads","Crucible","Atlas Pauldron","11"
"Alpha","jungler",NULL,NULL,NULL,NULL,"11"
"Lance","captain","Fountain of Renewal","Crucible","Atlas Pauldron","War Treads","11"
"Idris","carry","Poisoned Shiv","Sorrowblade","Travel Boots","Breaking Point","11"
"Idris","jungler","Poisoned Shiv","Sorrowblade","Travel Boots","Breaking Point","11"
"Flicker","captain","War Treads","Eclipse Prism","Stormcrown","Fountain of Renewal","11"
"Joule","jungler","Travel Boots","Sorrowblade","Tornado Trigger","Tyrant's Monocle","11"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","10"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","Tyrant's Monocle","10"
"Ardan","captain","Fountain of Renewal","War Treads","Stormcrown","Crucible","10"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","War Treads","Crucible","10"
"Ardan","captain",NULL,NULL,NULL,NULL,"10"
"Rona","jungler",NULL,NULL,NULL,NULL,"10"
"Rona","jungler","Serpent Mask","Breaking Point","Metal Jacket","Travel Boots","10"
"Ardan","captain","Fountain of Renewal","War Treads","Atlas Pauldron","Crucible","10"
"Skye","carry","Eve of Harvest","Frostburn","Travel Boots","Broken Myth","10"
"Ozo","jungler","Aftershock","Travel Boots","Coat of Plates","Aegis","10"
"Alpha","jungler","Sorrowblade","Breaking Point","Travel Boots","Aegis","10"
"Flicker","jungler","War Treads","Aftershock","Stormcrown","Fountain of Renewal","10"
"Idris","carry","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","10"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","Travel Boots","10"
"Vox","carry","Breaking Point","Aegis","Tyrant's Monocle","Journey Boots","9"
"Celeste","carry","Eve of Harvest","Broken Myth","Travel Boots","Frostburn","9"
"Celeste","carry","Frostburn","Broken Myth","Eve of Harvest","Halcyon Chargers","9"
"SAW","carry","Sorrowblade","Serpent Mask","Aegis","Travel Boots","9"
"Taka","jungler","Stormcrown","Travel Boots","Clockwork","Alternating Current","9"
"Ardan","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","9"
"Fortress","jungler","Fountain of Renewal","Stormcrown","War Treads","Crucible","9"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","Metal Jacket","9"
"Alpha","jungler","Stormcrown","Aftershock","Halcyon Chargers","Metal Jacket","9"
"Lance","captain",NULL,NULL,NULL,NULL,"9"
"Lance","captain","War Treads","Fountain of Renewal","Stormcrown","Crucible","9"
"Lance","captain","War Treads","Fountain of Renewal","Atlas Pauldron","Crucible","9"
"Baron","carry","Sorrowblade","Breaking Point","Travel Boots","Tyrant's Monocle","9"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","9"
"Flicker","captain","War Treads","Aftershock","Stormcrown","Fountain of Renewal","9"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Travel Boots","Alternating Current","9"
"Lyra","carry","Alternating Current","Travel Boots","Stormcrown","Alternating Current","9"
"Lyra","captain","Fountain of Renewal","Atlas Pauldron","Crucible","War Treads","9"
"Lyra","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","9"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Tyrant's Monocle","8"
"Ringo","carry","Sorrowblade","Breaking Point","Halcyon Chargers","Aegis","8"
"Adagio","captain","War Treads","Fountain of Renewal","Crucible","Contraption","8"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","8"
"SAW","carry","Serpent Mask","Sorrowblade","Travel Boots","Aegis","8"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Aegis","8"
"Krul","jungler","Breaking Point","Travel Boots","Sorrowblade","Shiversteel","8"
"Fortress","jungler","Fountain of Renewal","Travel Boots","Stormcrown","Aftershock","8"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","Coat of Plates","8"
"Ardan","captain","War Treads","Fountain of Renewal","Atlas Pauldron","Crucible","8"
"Fortress","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","8"
"Skye","carry","Frostburn","Travel Boots","Eve of Harvest","Broken Myth","8"
"Kestrel","carry","Sorrowblade","Breaking Point","Travel Boots","Tyrant's Monocle","8"
"Blackfeather","jungler",NULL,NULL,NULL,NULL,"8"
"Phinn","captain",NULL,NULL,NULL,NULL,"8"
"Kestrel","jungler","Shatterglass","Shatterglass","Sprint Boots","Clockwork","8"
"Alpha","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","8"
"Lance","captain","Fountain of Renewal","War Treads","Atlas Pauldron","Crucible","8"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","8"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Bonesaw","8"
"Joule","jungler",NULL,NULL,NULL,NULL,"8"
"Vox","carry","Breaking Point","Tyrant's Monocle","Travel Boots","Aegis","7"
"Catherine","captain","Fountain of Renewal","Crucible","Travel Boots","Atlas Pauldron","7"
"Catherine","carry","Fountain of Renewal","Stormcrown","War Treads","Crucible","7"
"Catherine","carry","Fountain of Renewal","Stormcrown","Travel Boots","Crucible","7"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Aegis","7"
"Koshka","jungler","Aegis","Halcyon Chargers","Aftershock","Broken Myth","7"
"Koshka","jungler","Aftershock","Broken Myth","Travel Boots","Aegis","7"
"Adagio","captain","War Treads","Fountain of Renewal","Crucible","Flare","7"
"SAW","carry","Sorrowblade","Serpent Mask","Reflex Block","Sprint Boots","7"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Kinetic Shield","7"
"Skaarf","carry","Eve of Harvest","Travel Boots","Broken Myth","Aegis","7"
"Ardan","captain","War Treads","Fountain of Renewal","Stormcrown","Crucible","7"
"Fortress","jungler",NULL,NULL,NULL,NULL,"7"
"Fortress","jungler","Travel Boots","Stormcrown","Fountain of Renewal","Aftershock","7"
"Rona","jungler","Serpent Mask","Breaking Point","Sorrowblade","Travel Boots","7"
"Rona","jungler","Serpent Mask","Metal Jacket","Breaking Point","Travel Boots","7"
"Fortress","captain","Fountain of Renewal","Crucible","War Treads","Atlas Pauldron","7"
"Fortress","captain","War Treads","Fountain of Renewal","Stormcrown","Crucible","7"
"Phinn","captain","Fountain of Renewal","War Treads","Atlas Pauldron","Crucible","7"
"Kestrel","jungler","Shatterglass","Shatterglass","Sprint Boots","Void Battery","7"
"Alpha","jungler","Aftershock","Stormcrown","Travel Boots","Broken Myth","7"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Light Armor","7"
"Alpha","jungler","Stormcrown","Travel Boots","Aftershock","Coat of Plates","7"
"Lance","captain","Fountain of Renewal","Crucible","Travel Boots","Atlas Pauldron","7"
"Lance","captain","Travel Boots","Fountain of Renewal","Atlas Pauldron","Crucible","7"
"Lance","captain","War Treads","Crucible","Fountain of Renewal","Atlas Pauldron","7"
"Gwen","carry",NULL,NULL,NULL,NULL,"7"
"Gwen","carry","Sorrowblade","Breaking Point","Halcyon Chargers","Aegis","7"
"Gwen","carry","Tension Bow","Coat of Plates","Sorrowblade","Halcyon Chargers","7"
"Flicker","captain","Fountain of Renewal","Aftershock","Stormcrown","War Treads","7"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","Broken Myth","7"
"Lyra","carry","Fountain of Renewal","Alternating Current","Eve of Harvest","Heavy Prism","7"
"Lyra","carry","Alternating Current","Alternating Current","Travel Boots","Stormcrown","7"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Stormcrown","7"
"Lyra","captain","Fountain of Renewal","Crucible","War Treads","Atlas Pauldron","7"
"Lyra","captain","Fountain of Renewal","War Treads","Stormcrown","Crucible","7"
"Vox","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Tyrant's Monocle","6"
"Vox","carry","Breaking Point","Metal Jacket","Tyrant's Monocle","Travel Boots","6"
"Vox","carry","Breaking Point","Coat of Plates","Tyrant's Monocle","Travel Boots","6"
"Vox","carry","Breaking Point","Tyrant's Monocle","Journey Boots","Aegis","6"
"Vox","carry","Breaking Point","Metal Jacket","Poisoned Shiv","Journey Boots","6"
"Celeste","carry","Frostburn","Eve of Harvest","Halcyon Chargers","Broken Myth","6"
"Celeste","jungler","Frostburn","Eve of Harvest","Halcyon Chargers","Broken Myth","6"
"Catherine","jungler","Sorrowblade","Lifespring","Journey Boots","Coat of Plates","6"
"Catherine","captain","Travel Boots","Stormcrown","Fountain of Renewal","Crucible","6"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Reflex Block","6"
"Ringo","carry","Sorrowblade","Breaking Point","Journey Boots","Aegis","6"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","6"
"Adagio","carry","Journey Boots","Alternating Current","Broken Myth","Aegis","6"
"Koshka","jungler","Aftershock","Aegis","Travel Boots","Broken Myth","6"
"Koshka","jungler","Aftershock","Broken Myth","Halcyon Chargers","Aegis","6"
"Koshka","jungler","Aftershock","Travel Boots","Fountain of Renewal","Broken Myth","6"
"SAW","carry","Travel Boots","Serpent Mask","Sorrowblade","Aegis","6"
"Koshka","jungler","Aftershock","Broken Myth","Sprint Boots","Aegis","6"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Reflex Block","6"
"Glaive","jungler","Travel Boots","Sorrowblade","Tornado Trigger","Metal Jacket","6"
"Petal","jungler","Frostburn","Broken Myth","Travel Boots","Aegis","6"
"SAW","carry","Travel Boots","Sorrowblade","Serpent Mask","Reflex Block","6"
"SAW","carry","Serpent Mask","Sorrowblade","Aegis","Travel Boots","6"
"SAW","carry","Serpent Mask","Travel Boots","Sorrowblade","Tyrant's Monocle","6"
"Krul","jungler","Tornado Trigger","Serpent Mask","Travel Boots","Tornado Trigger","6"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Aegis","6"
"Taka","jungler","Travel Boots","Stormcrown","Aftershock","Broken Myth","6"
"Taka","captain","Stormcrown","Travel Boots","Aftershock","Broken Myth","6"
"Skaarf","carry","Shatterglass","Eve of Harvest","Travel Boots","Piercing Shard","6"
"Skaarf","carry",NULL,NULL,NULL,NULL,"6"
"Skaarf","carry","Travel Boots","Shatterglass","Eve of Harvest","Broken Myth","6"
"Skaarf","carry","Eve of Harvest","Broken Myth","Travel Boots","Reflex Block","6"
"Skaarf","carry","Travel Boots","Eve of Harvest","Broken Myth","Aegis","6"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Piercing Shard","6"
"Ardan","jungler","Fountain of Renewal","War Treads","Stormcrown","Crucible","6"
"Ardan","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","6"
"Rona","jungler","Halcyon Potion","Serpent Mask","Breaking Point","Travel Boots","6"
"Ardan","captain","Fountain of Renewal","Stormcrown","Crucible","War Treads","6"
"Kestrel","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","6"
"Skye","jungler","Frostburn","Eve of Harvest","Broken Myth","Travel Boots","6"
"Blackfeather","jungler","Alternating Current","Aegis","Travel Boots","Broken Myth","6"
"Phinn","captain","Fountain of Renewal","Stormcrown","Crucible","War Treads","6"
"Kestrel","carry","Sorrowblade","Breaking Point","Halcyon Chargers","Aegis","6"
"Kestrel","jungler","Shatterglass","Clockwork","Halcyon Chargers","Shatterglass","6"
"Kestrel","jungler","Shatterglass","Halcyon Chargers","Shatterglass","Clockwork","6"
"Ozo","jungler","Aegis","Aftershock","Travel Boots","Coat of Plates","6"
"Ozo","jungler","Aftershock","Halcyon Chargers","Metal Jacket","Aegis","6"
"Ozo","jungler","Aftershock","Travel Boots","Broken Myth","Aegis","6"
"Alpha","jungler","Stormcrown","Travel Boots","Aftershock","Light Armor","6"
"Samuel","jungler","Frostburn","Broken Myth","Travel Boots","Eve of Harvest","6"
"Lance","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","6"
"Lance","captain","Fountain of Renewal","War Treads","Stormcrown","Crucible","6"
"Lance","captain","War Treads","Fountain of Renewal","Atlas Pauldron","Contraption","6"
"Lance","captain","Crucible","Fountain of Renewal","War Treads","Atlas Pauldron","6"
"Gwen","carry","Sorrowblade","Breaking Point","Aegis","Travel Boots","6"
"Gwen","carry","Sorrowblade","Breaking Point","Tyrant's Monocle","Travel Boots","6"
"Flicker","carry","Fountain of Renewal","Aftershock","Stormcrown","War Treads","6"
"Idris","jungler","Sorrowblade","Poisoned Shiv","Travel Boots","Tornado Trigger","6"
"Idris","jungler","Sorrowblade","Travel Boots","Tornado Trigger","Poisoned Shiv","6"
"Flicker","captain","Stormcrown","Aftershock","Fountain of Renewal","War Treads","6"
"Flicker","captain","Aftershock","Stormcrown","War Treads","Fountain of Renewal","6"
"Flicker","captain","Fountain of Renewal","Crucible","Travel Boots","Stormcrown","6"
"Flicker","captain","Eclipse Prism","Stormcrown","War Treads","Fountain of Renewal","6"
"Lyra","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","6"
"Lyra","carry","Fountain of Renewal","Stormcrown","War Treads","Crucible","6"
"Lyra","carry","Fountain of Renewal","War Treads","Stormcrown","Crucible","6"
"Lyra","carry","Fountain of Renewal","Alternating Current","Eve of Harvest","Travel Boots","6"
"Idris","jungler","Shatterglass","Alternating Current","Travel Boots","Metal Jacket","6"
"Grumpjaw","jungler","Sorrowblade","Travel Boots","Breaking Point","Aegis","6"
"Joule","jungler","Frostburn","Travel Boots","Aegis","Broken Myth","6"
"Vox","carry","Breaking Point","Tyrant's Monocle","Travel Boots","Tyrant's Monocle","5"
"Vox","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","5"
"Catherine","carry","Fountain of Renewal","War Treads","Stormcrown","Crucible","5"
"Catherine","carry","Stormcrown","Fountain of Renewal","Travel Boots","Crucible","5"
"Catherine","jungler","Fountain of Renewal","Travel Boots","Stormcrown","Crucible","5"
"Catherine","captain","Fountain of Renewal","War Treads","Stormcrown","Crucible","5"
"Catherine","captain","Fountain of Renewal","Crucible","War Treads","Stormcrown","5"
"Catherine","captain","Fountain of Renewal","Contraption","War Treads","Crucible","5"
"Catherine","captain","Stormcrown","Fountain of Renewal","Travel Boots","Crucible","5"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Aegis","5"
"Ringo","carry","Sorrowblade","Breaking Point","Reflex Block","Travel Boots","5"
"Ringo","carry","Sorrowblade","Tornado Trigger","Aegis","Travel Boots","5"
"Ringo","carry","Sorrowblade","Tyrant's Monocle","Travel Boots","Breaking Point","5"
"Ringo","carry","Sorrowblade","Tornado Trigger","Journey Boots","Tyrant's Monocle","5"
"Ringo","carry","Sorrowblade","Tyrant's Monocle","Tornado Trigger","Travel Boots","5"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Slumbering Husk","5"
"Ringo","carry","Sorrowblade","Tornado Trigger","Tyrant's Monocle","Halcyon Chargers","5"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Halcyon Chargers","Tyrant's Monocle","5"
"Ringo","captain","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","5"
"Adagio","carry","Fountain of Renewal","War Treads","Eclipse Prism","Stormcrown","5"
"Adagio","carry","Fountain of Renewal","War Treads","Shatterglass","Stormcrown","5"
"Koshka","jungler","Aftershock","Broken Myth","Aegis","Halcyon Chargers","5"
"Koshka","jungler","Shatterglass","Aftershock","Travel Boots","Broken Myth","5"
"Adagio","captain","Fountain of Renewal","Atlas Pauldron","Travel Boots","Crucible","5"
"Adagio","captain","War Treads","Atlas Pauldron","Fountain of Renewal","Crucible","5"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Aegis","Travel Boots","5"
"Glaive","jungler","Travel Boots","Sorrowblade","Tornado Trigger","Tyrant's Monocle","5"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Journey Boots","Metal Jacket","5"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Aegis","5"
"SAW","carry","Shatterglass","Travel Boots","Eve of Harvest","Broken Myth","5"
"SAW","carry","Sorrowblade","Serpent Mask","Journey Boots","Aegis","5"
"SAW","carry","Serpent Mask","Sorrowblade","Tyrant's Monocle","Travel Boots","5"
"SAW","carry","Sprint Boots","Sorrowblade","Serpent Mask","Reflex Block","5"
"SAW","carry","Sprint Boots","Serpent Mask","Sorrowblade","Reflex Block","5"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","Metal Jacket","5"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","Reflex Block","5"
"SAW","carry","Travel Boots","Serpent Mask","Sorrowblade","Metal Jacket","5"
"Krul","jungler",NULL,NULL,NULL,NULL,"5"
"Taka","jungler","Stormcrown","Halcyon Chargers","Broken Myth","Aftershock","5"
"Taka","jungler","Aftershock","Travel Boots","Stormcrown","Broken Myth","5"
"Taka","jungler","Stormcrown","Travel Boots","Broken Myth","Aftershock","5"
"Taka","captain","Oakheart","Sprint Boots","Sprint Boots","Sprint Boots","5"
"Skaarf","carry","Halcyon Chargers","Eve of Harvest","Broken Myth","Aegis","5"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Piercing Shard","5"
"Ardan","captain","Fountain of Renewal","Travel Boots","Atlas Pauldron","Crucible","5"
"Ardan","captain","Fountain of Renewal","War Treads","Crucible","Stormcrown","5"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","Light Armor","5"
"Rona","jungler","Sorrowblade","Serpent Mask","Breaking Point","Travel Boots","5"
"Ardan","captain","Fountain of Renewal","Contraption","War Treads","Atlas Pauldron","5"
"Blackfeather","carry","Serpent Mask","Breaking Point","Journey Boots","Aegis","5"
"Kestrel","carry","Sorrowblade","Breaking Point","Halcyon Chargers","Tyrant's Monocle","5"
"Skye","jungler","Frostburn","Eve of Harvest","Travel Boots","Broken Myth","5"
"Skye","jungler","Frostburn","Halcyon Chargers","Eve of Harvest","Broken Myth","5"
"Blackfeather","jungler","Serpent Mask","Metal Jacket","Travel Boots","Breaking Point","5"
"Blackfeather","jungler","Serpent Mask","Breaking Point","Travel Boots","Metal Jacket","5"
"Blackfeather","jungler","Travel Boots","Serpent Mask","Metal Jacket","Breaking Point","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","Void Battery","5"
"Kestrel","jungler","Shatterglass","Clockwork","Shatterglass","Travel Boots","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Void Battery","Travel Boots","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Sprint Boots","5"
"Kestrel","jungler","Shatterglass","Clockwork","Halcyon Chargers","Crystal Bit","5"
"Reim","jungler",NULL,NULL,NULL,NULL,"5"
"Alpha","jungler","Stormcrown","Travel Boots","Aftershock","Metal Jacket","5"
"Samuel","carry","Eve of Harvest","Broken Myth","Travel Boots","Aegis","5"
"Samuel","carry","Travel Boots","Eve of Harvest","Broken Myth","Reflex Block","5"
"Samuel","jungler","Frostburn","Eve of Harvest","Broken Myth","Travel Boots","5"
"Lance","captain","Fountain of Renewal","Stormcrown","Crucible","War Treads","5"
"Lance","captain","Atlas Pauldron","Fountain of Renewal","War Treads","Crucible","5"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","War Treads","Flare","5"
"Lance","captain","Atlas Pauldron","Fountain of Renewal","Crucible","War Treads","5"
"Lance","captain","Crucible","Fountain of Renewal","Atlas Pauldron","War Treads","5"
"Baron","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","5"
"Gwen","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","5"
"Gwen","carry","Travel Boots","Sorrowblade","Breaking Point","Aegis","5"
"Gwen","carry","Sorrowblade","Tornado Trigger","Tyrant's Monocle","Travel Boots","5"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Tyrant's Monocle","5"
"Gwen","carry","Tension Bow","Coat of Plates","Halcyon Chargers","Sorrowblade","5"
"Idris","carry","Sorrowblade","Poisoned Shiv","Travel Boots","Tornado Trigger","5"
"Idris","carry","Sorrowblade","Travel Boots","Tornado Trigger","Metal Jacket","5"
"Idris","carry","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","5"
"Idris","carry","Poisoned Shiv","Sorrowblade","Journey Boots","Breaking Point","5"
"Flicker","jungler","Aftershock","Stormcrown","War Treads","Fountain of Renewal","5"
"Idris","jungler","Sorrowblade","Travel Boots","Tornado Trigger","Tyrant's Monocle","5"
"Idris","jungler","Sorrowblade","Tornado Trigger","Slumbering Husk","Travel Boots","5"
"Idris","jungler","Sorrowblade","Travel Boots","Tornado Trigger","Slumbering Husk","5"
"Baron","captain",NULL,NULL,NULL,NULL,"5"
"Flicker","captain","Fountain of Renewal","Eclipse Prism","Stormcrown","War Treads","5"
"Flicker","captain","Fountain of Renewal","Crucible","War Treads","Atlas Pauldron","5"
"Lyra","carry","Eve of Harvest","Alternating Current","Heavy Prism","Fountain of Renewal","5"
"Idris","jungler","Sorrowblade","Tornado Trigger","Metal Jacket","Tyrant's Monocle","5"
"Idris","jungler","Poisoned Shiv","Sorrowblade","Journey Boots","Breaking Point","5"
"Grumpjaw","jungler","Fountain of Renewal","War Treads","Stormcrown","Crucible","5"
"Lyra","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","5"
"Lyra","captain","Fountain of Renewal","Crucible","War Treads","Stormcrown","5"
"Lyra","captain","Fountain of Renewal","War Treads","Crucible","Atlas Pauldron","5"
"Vox","carry","Travel Boots","Sorrowblade","Breaking Point","Tyrant's Monocle","4"
"Vox","carry","Breaking Point","Sorrowblade","Travel Boots","Aegis","4"
"Vox","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","4"
"Vox","carry","Breaking Point","Tyrant's Monocle","Halcyon Chargers","Aegis","4"
"Vox","carry","Sorrowblade","Tornado Trigger","Travel Boots","Aegis","4"
"Vox","carry","Breaking Point","Travel Boots","Tyrant's Monocle","Tyrant's Monocle","4"
"Vox","carry","Sorrowblade","Breaking Point","Tyrant's Monocle","Travel Boots","4"
"Vox","carry","Breaking Point","Coat of Plates","Sorrowblade","Travel Boots","4"
"Vox","carry","Breaking Point","Light Armor","Poisoned Shiv","Travel Boots","4"
