"Ardan","jungler","War Treads","Fountain of Renewal","Stormcrown","Crucible","Aftershock","Coat of Plates","5"
"Fortress","jungler","War Treads","Fountain of Renewal","Stormcrown","Crucible","Metal Jacket","Aftershock","5"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","Coat of Plates","Light Shield","Sorrowblade","5"
"Skye","carry","Eve of Harvest","Frostburn","Travel Boots","Broken Myth","Aegis","Eclipse Prism","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Halcyon Chargers","Piercing Shard","Piercing Shard","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","Clockwork","Energy Battery","Energy Battery","5"
"Kestrel","jungler","Shatterglass","Shatterglass","Halcyon Chargers","Clockwork","Piercing Shard","Heavy Prism","5"
"Reim","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"5"
"Ozo","jungler","Aftershock","Halcyon Chargers","Metal Jacket","Aegis","Broken Myth","Eve of Harvest","5"
"Baron","captain",NULL,NULL,NULL,NULL,NULL,NULL,"5"
"Flicker","captain","War Treads","Aftershock","Stormcrown","Fountain of Renewal","Crucible","Coat of Plates","5"
"Idris","carry","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","Slumbering Husk","5"
"Joule","jungler","Frostburn","Travel Boots","Aegis","Broken Myth","Clockwork","Eclipse Prism","5"
"Vox","captain","Weapon Blade","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","4"
"Catherine","captain","Travel Boots","Fountain of Renewal","Stormcrown","Crucible","Aftershock","Dragonheart","4"
"Catherine","captain","Fountain of Renewal","Stormcrown","Travel Boots","Crucible","Shiversteel","Coat of Plates","4"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","Shiversteel","Metal Jacket","4"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","Blazing Salvo","4"
"Ringo","captain","Weapon Blade","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","4"
"Koshka","jungler","Aftershock","Aegis","Halcyon Chargers","Broken Myth","Light Armor","Light Armor","4"
"Adagio","captain",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Kinetic Shield","Coat of Plates","Six Sins","4"
"Glaive","captain","Weapon Blade","Swift Shooter","Halcyon Potion","Halcyon Potion","Halcyon Potion","Halcyon Potion","4"
"SAW","carry","Sorrowblade","Serpent Mask","Journey Boots","Aegis","Tyrant's Monocle","Metal Jacket","4"
"SAW","carry","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","4"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Reflex Block","Tyrant's Monocle","Light Shield","4"
"SAW","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Krul","jungler","Breaking Point","Aegis","Travel Boots","Blazing Salvo","Tyrant's Monocle","Tyrant's Monocle","4"
"Taka","jungler","Aftershock","Stormcrown","Travel Boots","Broken Myth","Reflex Block","Void Battery","4"
"Taka","jungler","Stormcrown","Halcyon Chargers","Aftershock","Broken Myth","Aegis","Light Armor","4"
"Taka","jungler","Stormcrown","Aftershock","Halcyon Chargers","Broken Myth","Aegis","Aegis","4"
"Taka","captain","Halcyon Potion","Halcyon Potion","Halcyon Potion","Halcyon Potion","Halcyon Potion","Halcyon Potion","4"
"Skaarf","carry","Travel Boots","Shatterglass","Eve of Harvest","Broken Myth","Aegis","Frostburn","4"
"Taka","captain",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Coat of Plates","Light Shield","Sorrowblade","4"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Metal Jacket","Kinetic Shield","Sorrowblade","4"
"Fortress","captain",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Skye","carry",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Blackfeather","carry",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Skye","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Blackfeather","jungler","Serpent Mask","Travel Boots","Metal Jacket","Breaking Point","Aegis","Tyrant's Monocle","4"
"Blackfeather","jungler","Travel Boots","Serpent Mask","Metal Jacket","Breaking Point","Aegis","Six Sins","4"
"Kestrel","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Kestrel","jungler","Shatterglass","Shatterglass","Halcyon Chargers","Clockwork","Piercing Shard","Piercing Shard","4"
"Ozo","jungler","Aftershock","Travel Boots","Coat of Plates","Aegis","Broken Myth","Eve of Harvest","4"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","War Treads","Crucible","Flare","Flare","4"
"Lance","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","Atlas Pauldron","Atlas Pauldron","4"
"Baron","carry",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Gwen","carry","Travel Boots","Sorrowblade","Breaking Point","Aegis","Tyrant's Monocle","Coat of Plates","4"
"Flicker","jungler","War Treads","Aftershock","Stormcrown","Fountain of Renewal","Crucible","Metal Jacket","4"
"Flicker","captain",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Flicker","captain","Eclipse Prism","Stormcrown","War Treads","Fountain of Renewal","Crucible","Chronograph","4"
"Idris","carry",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","Heavy Prism","Travel Boots","Travel Boots","4"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Alternating Current","Travel Boots","Travel Boots","Travel Boots","4"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","Slumbering Husk","4"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","Tyrant's Monocle","4"
"Idris","jungler","Sorrowblade","Tornado Trigger","War Treads","Tyrant's Monocle","Metal Jacket","Slumbering Husk","4"
"Lyra","captain",NULL,NULL,NULL,NULL,NULL,NULL,"4"
"Vox","carry","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","3"
"Vox","carry","Breaking Point","Metal Jacket","Poisoned Shiv","Journey Boots","Serpent Mask","Aegis","3"
"Catherine","carry","Fountain of Renewal","War Treads","Stormcrown","Crucible","Shiversteel","Metal Jacket","3"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","Aftershock","Contraption","3"
"Catherine","jungler","Sorrowblade","Lifespring","Journey Boots","Coat of Plates","Tornado Trigger","Tyrant's Monocle","3"
"Celeste","captain","Halcyon Potion","Crystal Bit","Energy Battery","Energy Battery","Energy Battery","Energy Battery","3"
"Catherine","captain","Fountain of Renewal","Stormcrown","Travel Boots","Crucible","Crucible","Crucible","3"
"Catherine","captain","Sorrowblade","Lifespring","Coat of Plates","Journey Boots","Tornado Trigger","Lucky Strike","3"
"Catherine","carry","Fountain of Renewal","Stormcrown","War Treads","Crucible","Aftershock","Chronograph","3"
"Ringo","carry","Journey Boots","Sorrowblade","Breaking Point","Aegis","Tyrant's Monocle","Tornado Trigger","3"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","Six Sins","Lucky Strike","3"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","Tyrant's Monocle","Light Shield","3"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Slumbering Husk","Tyrant's Monocle","Tyrant's Monocle","3"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","Tyrant's Monocle","3"
"Ringo","carry","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","3"
"Catherine","jungler","Fountain of Renewal","Stormcrown","War Treads","Crucible","Aftershock","Contraption","3"
"Catherine","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Slumbering Husk","Lucky Strike","3"
"Adagio","carry",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Adagio","carry","Fountain of Renewal","War Treads","Shatterglass","Stormcrown","Crucible","Chronograph","3"
"Koshka","jungler","Reflex Block","Shatterglass","Halcyon Chargers","Shatterglass","Clockwork","Light Shield","3"
"Koshka","captain",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Glaive","carry","Journey Boots","Sorrowblade","Tornado Trigger","Metal Jacket","Aegis","Tyrant's Monocle","3"
"SAW","carry","Travel Boots","Serpent Mask","Sorrowblade","Aegis","Tyrant's Monocle","Coat of Plates","3"
"SAW","carry","Sorrowblade","Serpent Mask","Aegis","Travel Boots","Tyrant's Monocle","Metal Jacket","3"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Coat of Plates","Kinetic Shield","Six Sins","3"
"Glaive","jungler","Travel Boots","Sorrowblade","Tornado Trigger","Coat of Plates","Kinetic Shield","Tyrant's Monocle","3"
"Glaive","captain","Weapon Blade","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","3"
"SAW","carry","Serpent Mask","Sorrowblade","Travel Boots","Aegis","Tyrant's Monocle","Coat of Plates","3"
"SAW","carry","Sorrowblade","Serpent Mask","Travel Boots","Aegis","Tyrant's Monocle","Metal Jacket","3"
"SAW","carry","Sorrowblade","Serpent Mask","Aegis","Travel Boots","Tyrant's Monocle","Coat of Plates","3"
"SAW","carry","Serpent Mask","Sorrowblade","Aegis","Travel Boots","Tyrant's Monocle","Metal Jacket","3"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Reflex Block","Six Sins","Lucky Strike","3"
"SAW","carry","Sorrowblade","Serpent Mask","Sprint Boots","Aegis","Tyrant's Monocle","Light Armor","3"
"Krul","jungler","Breaking Point","Travel Boots","Sorrowblade","Shiversteel","Aegis","Coat of Plates","3"
"Taka","jungler","Stormcrown","Aftershock","Halcyon Chargers","Broken Myth","Aegis","Coat of Plates","3"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","Aegis","Energy Battery","3"
"Taka","jungler","Stormcrown","Sprint Boots","Chronograph","Eclipse Prism","Eclipse Prism","Eclipse Prism","3"
"Taka","jungler","Aftershock","Stormcrown","Halcyon Chargers","Broken Myth","Aegis","Aegis","3"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","Oakheart","Oakheart","3"
"Taka","jungler","Aftershock","Stormcrown","Halcyon Chargers","Broken Myth","Aegis","Coat of Plates","3"
"Skaarf","carry","Halcyon Chargers","Eve of Harvest","Broken Myth","Aegis","Frostburn","Clockwork","3"
"Taka","jungler","Aftershock","Stormcrown","Halcyon Chargers","Broken Myth","Aegis","Metal Jacket","3"
"Taka","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","Reflex Block","Energy Battery","3"
"Taka","jungler","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","3"
"Taka","jungler","Stormcrown","Aftershock","Travel Boots","Broken Myth","Aegis","Void Battery","3"
"Taka","jungler","Lucky Strike","Travel Boots","Stormcrown","Shatterglass","Heavy Prism","Heavy Prism","3"
"Ardan","jungler","Fountain of Renewal","War Treads","Stormcrown","Crucible","Aftershock","Metal Jacket","3"
"Ardan","captain","Fountain of Renewal","Crucible","Travel Boots","Atlas Pauldron","Atlas Pauldron","Atlas Pauldron","3"
"Fortress","jungler","Fountain of Renewal","Stormcrown","War Treads","Crucible","Metal Jacket","Aftershock","3"
"Fortress","jungler","Fountain of Renewal","War Treads","Stormcrown","Crucible","Metal Jacket","Aftershock","3"
"Fortress","jungler","Travel Boots","Stormcrown","Fountain of Renewal","Aftershock","Piercing Shard","Heavy Prism","3"
"Rona","jungler","Serpent Mask","Breaking Point","Travel Boots","Light Armor","Light Shield","Six Sins","3"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Coat of Plates","Sorrowblade","Sorrowblade","3"
"Rona","jungler","Travel Boots","Serpent Mask","Breaking Point","Metal Jacket","Light Shield","Sorrowblade","3"
"Fortress","captain","War Treads","Fountain of Renewal","Stormcrown","Crucible","Coat of Plates","Chronograph","3"
"Blackfeather","jungler","Serpent Mask","Metal Jacket","Travel Boots","Breaking Point","Aegis","Tyrant's Monocle","3"
"Blackfeather","jungler","Serpent Mask","Coat of Plates","Travel Boots","Breaking Point","Aegis","Aegis","3"
"Blackfeather","jungler","Serpent Mask","Journey Boots","Metal Jacket","Breaking Point","Aegis","Tyrant's Monocle","3"
"Kestrel","carry",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Sprint Boots","Energy Battery","Energy Battery","3"
"Kestrel","jungler","Shatterglass","Clockwork","Halcyon Chargers","Crystal Bit","Shatterglass","Piercing Shard","3"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Travel Boots","Energy Battery","Piercing Shard","3"
"Kestrel","jungler","Shatterglass","Shatterglass","Clockwork","Travel Boots","Piercing Shard","Energy Battery","3"
"Kestrel","jungler","Shatterglass","Shatterglass","Travel Boots","Clockwork","Piercing Shard","Energy Battery","3"
"Ozo","jungler","Aftershock","Travel Boots","Coat of Plates","Aegis","Broken Myth","Void Battery","3"
"Ozo","jungler","Aegis","Aftershock","Travel Boots","Coat of Plates","Broken Myth","Void Battery","3"
"Ozo","jungler",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Ozo","jungler","Aftershock","Halcyon Chargers","Coat of Plates","Aegis","Broken Myth","Eve of Harvest","3"
"Alpha","jungler","Stormcrown","Aftershock","Travel Boots","Metal Jacket","Kinetic Shield","Broken Myth","3"
"Samuel","carry",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Alpha","jungler","Sorrowblade","Breaking Point","Journey Boots","Aegis","Metal Jacket","Poisoned Shiv","3"
"Alpha","jungler","Stormcrown","Travel Boots","Aftershock","Broken Myth","Metal Jacket","Aegis","3"
"Alpha","jungler","Aftershock","Halcyon Chargers","Aegis","Metal Jacket","Piercing Shard","Coat of Plates","3"
"Alpha","captain","Halcyon Potion","Oakheart","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","3"
"Lance","captain","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","3"
"Lance","captain","Fountain of Renewal","War Treads","Crucible","Atlas Pauldron","Flare","Flare","3"
"Lance","captain","War Treads","Atlas Pauldron","Fountain of Renewal","Crucible","Crucible","Crucible","3"
"Lance","captain","War Treads","Fountain of Renewal","Atlas Pauldron","Crucible","Crucible","Crucible","3"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","Coat of Plates","3"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","Tyrant's Monocle","3"
"Gwen","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","Light Armor","3"
"Gwen","carry","Tension Bow","Coat of Plates","Sorrowblade","Halcyon Chargers","Breaking Point","Aegis","3"
"Flicker","jungler","War Treads","Aftershock","Stormcrown","Fountain of Renewal","Crucible","Coat of Plates","3"
"Idris","jungler","Sorrowblade","War Treads","Tornado Trigger","Metal Jacket","Tyrant's Monocle","Slumbering Husk","3"
"Idris","jungler","Sorrowblade","Tornado Trigger","Metal Jacket","War Treads","Tyrant's Monocle","Slumbering Husk","3"
"Gwen","captain","Weapon Blade","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","Swift Shooter","3"
"Flicker","captain","Fountain of Renewal","Aftershock","Stormcrown","War Treads","Crucible","Coat of Plates","3"
"Flicker","captain","Stormcrown","Aftershock","Fountain of Renewal","War Treads","Crucible","Metal Jacket","3"
"Flicker","captain","Fountain of Renewal","Eclipse Prism","Stormcrown","War Treads","Crucible","Chronograph","3"
"Lyra","carry","Fountain of Renewal","War Treads","Stormcrown","Crucible","Metal Jacket","Chronograph","3"
"Idris","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","Metal Jacket","Tyrant's Monocle","Tyrant's Monocle","3"
"Idris","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","Metal Jacket","Lucky Strike","Six Sins","3"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Metal Jacket","Slumbering Husk","3"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","Heavy Steel","3"
"Idris","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Coat of Plates","Coat of Plates","3"
"Idris","jungler","Poisoned Shiv","Sorrowblade","Journey Boots","Breaking Point","Aegis","Metal Jacket","3"
"Idris","jungler","Poisoned Shiv","Sorrowblade","Travel Boots","Breaking Point","Kinetic Shield","Light Armor","3"
"Grumpjaw","jungler","Fountain of Renewal","War Treads","Stormcrown","Crucible","Metal Jacket","Aftershock","3"
"Grumpjaw","captain",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"Lyra","captain","War Treads","Fountain of Renewal","Crucible","Atlas Pauldron","Flare","Scout Trap","3"
"Joule","jungler","Sorrowblade","Tornado Trigger","Tyrant's Monocle","Travel Boots","Kinetic Shield","Reflex Block","3"
"Vox","carry","Sorrowblade","Breaking Point","Halcyon Chargers","Aegis","Tyrant's Monocle","Lucky Strike","2"
"Vox","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","Six Sins","Lucky Strike","2"
"Vox","carry","Aegis","Travel Boots","Travel Boots","Travel Boots","Travel Boots","Travel Boots","2"
"Vox","carry","Alternating Current","Reflex Block","Travel Boots","Broken Myth","Light Shield","Eve of Harvest","2"
"Vox","carry","Breaking Point","Tyrant's Monocle","Journey Boots","Aegis","Tyrant's Monocle","Poisoned Shiv","2"
"Vox","carry","Sorrowblade","Breaking Point","Travel Boots","Six Sins","Lucky Strike","Reflex Block","2"
"Vox","carry","Breaking Point","Aegis","Tyrant's Monocle","Journey Boots","Tyrant's Monocle","Poisoned Shiv","2"
"Vox","carry","Breaking Point","Metal Jacket","Poisoned Shiv","Journey Boots","Sorrowblade","Aegis","2"
"Vox","carry","Breaking Point","Metal Jacket","Tyrant's Monocle","Aegis","Journey Boots","Tyrant's Monocle","2"
"Vox","carry","Breaking Point","Aegis","Tyrant's Monocle","Journey Boots","Tyrant's Monocle","Metal Jacket","2"
"Vox","carry","Breaking Point","Metal Jacket","Tyrant's Monocle","Travel Boots","Aegis","Tyrant's Monocle","2"
"Vox","carry","Breaking Point","Metal Jacket","Aegis","Journey Boots","Tyrant's Monocle","Tyrant's Monocle","2"
"Vox","carry","Breaking Point","Metal Jacket","Tyrant's Monocle","Journey Boots","Aegis","Tyrant's Monocle","2"
"Vox","carry","Breaking Point","Metal Jacket","Tyrant's Monocle","Tyrant's Monocle","Travel Boots","Reflex Block","2"
"Vox","carry","Breaking Point","Light Armor","Poisoned Shiv","Travel Boots","Serpent Mask","Reflex Block","2"
"Vox","carry","Breaking Point","Coat of Plates","Poisoned Shiv","Journey Boots","Aegis","Serpent Mask","2"
"Vox","carry","Breaking Point","Bonesaw","Poisoned Shiv","Journey Boots","Serpent Mask","Reflex Block","2"
"Vox","carry","Breaking Point","Coat of Plates","Sorrowblade","Journey Boots","Poisoned Shiv","Reflex Block","2"
"Vox","carry","Breaking Point","Coat of Plates","Poisoned Shiv","Journey Boots","Sorrowblade","Aegis","2"
"Celeste","carry","Eve of Harvest","Broken Myth","Travel Boots","Frostburn","Aegis","Coat of Plates","2"
"Celeste","carry",NULL,NULL,NULL,NULL,NULL,NULL,"2"
"Celeste","carry","Travel Boots","Frostburn","Clockwork","Broken Myth","Slumbering Husk","Shatterglass","2"
"Celeste","carry","Eve of Harvest","Broken Myth","Halcyon Chargers","Aegis","Frostburn","Heavy Prism","2"
"Celeste","carry","Frostburn","Broken Myth","Eve of Harvest","Halcyon Chargers","Clockwork","Reflex Block","2"
"Celeste","carry","Frostburn","Broken Myth","Eve of Harvest","Halcyon Chargers","Clockwork","Aegis","2"
"Catherine","carry","Travel Boots","Fountain of Renewal","Stormcrown","Crucible","Aftershock","Aftershock","2"
"Vox","jungler","Travel Boots","Sorrowblade","Breaking Point","Six Sins","Kinetic Shield","Coat of Plates","2"
"Vox","captain",NULL,NULL,NULL,NULL,NULL,NULL,"2"
"Catherine","captain","Halcyon Potion","Light Shield","Oakheart","Oakheart","Oakheart","Oakheart","2"
"Catherine","captain","Travel Boots","Stormcrown","Fountain of Renewal","Crucible","Aftershock","Aftershock","2"
"Catherine","captain","Fountain of Renewal","Stormcrown","War Treads","Crucible","Shiversteel","Metal Jacket","2"
"Catherine","captain","Fountain of Renewal","Stormguard Banner","Sprint Boots","Sprint Boots","Sprint Boots","Sprint Boots","2"
"Catherine","captain","Ironguard Contract","Oakheart","Oakheart","Oakheart","Oakheart","Oakheart","2"
"Catherine","captain","Oakheart","Ironguard Contract","Ironguard Contract","Ironguard Contract","Ironguard Contract","Ironguard Contract","2"
"Catherine","captain","Oakheart","Light Shield","Light Shield","Light Shield","Light Shield","Light Shield","2"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","Crucible","Aftershock","Chronograph","2"
"Catherine","carry","Metal Jacket","Fountain of Renewal","Stormcrown","Travel Boots","Aftershock","Aftershock","2"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Aegis","Tyrant's Monocle","Blazing Salvo","2"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","Six Sins","Lucky Strike","2"
"Ringo","carry","Sorrowblade","Journey Boots","Tornado Trigger","Tyrant's Monocle","Metal Jacket","Blazing Salvo","2"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Tyrant's Monocle","Aegis","Tyrant's Monocle","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Aegis","Tyrant's Monocle","Lucky Strike","2"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","Tyrant's Monocle","Kinetic Shield","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Coat of Plates","Tyrant's Monocle","Tyrant's Monocle","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Metal Jacket","Metal Jacket","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Aegis","Tyrant's Monocle","2"
"Ringo","carry","Clockwork","Alternating Current","Travel Boots","Broken Myth","Reflex Block","Heavy Prism","2"
"Ringo","carry","Travel Boots","Travel Boots","Travel Boots","Travel Boots","Travel Boots","Travel Boots","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Aegis","Tyrant's Monocle","Lucky Strike","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","Tyrant's Monocle","Reflex Block","Tyrant's Monocle","2"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","Reflex Block","Tyrant's Monocle","Tyrant's Monocle","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Tyrant's Monocle","Reflex Block","Metal Jacket","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Slumbering Husk","Tyrant's Monocle","Lucky Strike","2"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Reflex Block","Tyrant's Monocle","Kinetic Shield","2"
"Ringo","carry","Sorrowblade","Travel Boots","Tornado Trigger","Slumbering Husk","Tyrant's Monocle","Tyrant's Monocle","2"
"Ringo","carry","Halcyon Chargers","Halcyon Chargers","Halcyon Chargers","Halcyon Chargers","Halcyon Chargers","Halcyon Chargers","2"
"Ringo","carry","Sorrowblade","Tornado Trigger","Travel Boots","Aegis","Tyrant's Monocle","Coat of Plates","2"
"Ringo","carry","Sorrowblade","Breaking Point","Travel Boots","Aegis","Tyrant's Monocle","Lucky Strike","2"
"Ringo","carry","Sorrowblade","Reflex Block","Breaking Point","Travel Boots","Tyrant's Monocle","Tyrant's Monocle","2"
"Catherine","jungler","Fountain of Renewal","Travel Boots","Stormcrown","Crucible","Aftershock","Oakheart","2"
"Catherine","jungler","Bonesaw","Fountain of Renewal","Travel Boots","Serpent Mask","Stormcrown","Metal Jacket","2"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Travel Boots","Metal Jacket","Tyrant's Monocle","Tyrant's Monocle","2"
