"Taka","jungler","Stormcrown","Aftershock","Halcyon Chargers","29"
"Lance","captain","Fountain of Renewal","Atlas Pauldron","Crucible","29"
"Joule","jungler","Sorrowblade","Tornado Trigger","Tyrant's Monocle","29"
"Taka","jungler","Aftershock","Stormcrown","Travel Boots","28"
"Lyra","carry","Fountain of Renewal","Alternating Current","Eve of Harvest","28"
"Glaive","jungler","Travel Boots","Sorrowblade","Tornado Trigger","27"
"Joule","jungler","Sorrowblade","Tornado Trigger","Travel Boots","27"
"Skaarf","carry","Shatterglass","Eve of Harvest","Travel Boots","26"
"Ardan","captain","Fountain of Renewal","Crucible","War Treads","26"
"Idris","jungler","Sorrowblade","Tornado Trigger","Metal Jacket","26"
"Idris","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","25"
"Lyra","captain","Fountain of Renewal","Crucible","War Treads","25"
"Vox","carry","Breaking Point","Tyrant's Monocle","Travel Boots","24"
"Ringo","carry","Travel Boots","Sorrowblade","Breaking Point","24"
"Taka","jungler","Aftershock","Stormcrown","Halcyon Chargers","24"
"Lance","captain","Fountain of Renewal","War Treads","Crucible","23"
"Lance","captain","Fountain of Renewal","War Treads","Atlas Pauldron","23"
"Vox","carry",NULL,NULL,NULL,"22"
"Krul","jungler","Tornado Trigger","Sorrowblade","Travel Boots","22"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","Crucible","22"
"Kestrel","carry","Sorrowblade","Breaking Point","Travel Boots","22"
"Lance","captain","Fountain of Renewal","Crucible","War Treads","22"
"Lance","captain","War Treads","Fountain of Renewal","Atlas Pauldron","22"
"Baron","carry","Sorrowblade","Breaking Point","Travel Boots","22"
"Catherine","captain","Travel Boots","Fountain of Renewal","Stormcrown","21"
"Ringo","carry","Sorrowblade","Breaking Point","Halcyon Chargers","21"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","War Treads","21"
"Alpha","jungler","Aftershock","Stormcrown","Travel Boots","21"
"Vox","carry","Sorrowblade","Tornado Trigger","Travel Boots","20"
"Koshka","jungler","Aftershock","Broken Myth","Travel Boots","20"
"Taka","jungler",NULL,NULL,NULL,"20"
"Idris","carry","Poisoned Shiv","Sorrowblade","Travel Boots","20"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Journey Boots","19"
"Ardan","captain","Fountain of Renewal","Crucible","Atlas Pauldron","19"
"Ardan","captain","War Treads","Fountain of Renewal","Crucible","19"
"Kestrel","jungler","Shatterglass","Clockwork","Travel Boots","19"
"Reim","jungler","Halcyon Chargers","Broken Myth","Eve of Harvest","19"
"Vox","carry","Sorrowblade","Breaking Point","Travel Boots","18"
"Catherine","captain","Fountain of Renewal","Stormcrown","War Treads","18"
"SAW","carry","Travel Boots","Serpent Mask","Sorrowblade","18"
"SAW","carry","Serpent Mask","Sorrowblade","Tyrant's Monocle","18"
"Blackfeather","jungler","Serpent Mask","Travel Boots","Metal Jacket","18"
"Blackfeather","jungler","Serpent Mask","Breaking Point","Travel Boots","18"
"Ozo","jungler","Aftershock","Travel Boots","Coat of Plates","18"
"Vox","carry","Breaking Point","Metal Jacket","Tyrant's Monocle","17"
"Catherine","jungler","Fountain of Renewal","Stormcrown","War Treads","17"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Travel Boots","17"
"Adagio","captain","Fountain of Renewal","War Treads","Crucible","17"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Tyrant's Monocle","17"
"Fortress","jungler","War Treads","Fountain of Renewal","Stormcrown","17"
"Kestrel","jungler","Shatterglass","Clockwork","Halcyon Chargers","17"
"Lance","captain","Fountain of Renewal","Crucible","Atlas Pauldron","17"
"Lance","captain","Fountain of Renewal","Crucible","Travel Boots","17"
"Lance","captain","War Treads","Atlas Pauldron","Fountain of Renewal","17"
"Gwen","carry","Sorrowblade","Breaking Point","Halcyon Chargers","17"
"Idris","carry","Sorrowblade","Travel Boots","Tornado Trigger","17"
"Idris","jungler","Poisoned Shiv","Sorrowblade","Travel Boots","17"
"Vox","carry","Breaking Point","Aegis","Tyrant's Monocle","16"
"Adagio","captain","Fountain of Renewal","Crucible","War Treads","16"
"SAW","carry","Sorrowblade","Serpent Mask","Aegis","16"
"Petal","jungler",NULL,NULL,NULL,"16"
"Ardan","captain","Fountain of Renewal","War Treads","Stormcrown","16"
"Kestrel","carry","Sorrowblade","Breaking Point","Halcyon Chargers","16"
"Kestrel","jungler","Shatterglass","Shatterglass","Sprint Boots","16"
"Lyra","carry","Alternating Current","Alternating Current","Travel Boots","16"
"Lyra","captain","War Treads","Fountain of Renewal","Crucible","16"
"Celeste","carry","Eve of Harvest","Broken Myth","Travel Boots","15"
"Catherine","captain","Fountain of Renewal","Crucible","Travel Boots","15"
"Ringo","carry","Sorrowblade","Breaking Point","Journey Boots","15"
"Ringo","carry",NULL,NULL,NULL,"15"
"SAW","carry",NULL,NULL,NULL,"15"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Halcyon Chargers","15"
"Glaive","jungler","Sorrowblade","Travel Boots","Tornado Trigger","15"
"Petal","jungler","Frostburn","Broken Myth","Travel Boots","15"
"Taka","jungler","Travel Boots","Stormcrown","Aftershock","15"
"Rona","jungler","Serpent Mask","Breaking Point","Sorrowblade","15"
"Lyra","carry","Fountain of Renewal","Eve of Harvest","Alternating Current","15"
"Grumpjaw","jungler","Sorrowblade","Travel Boots","Breaking Point","15"
"Lyra","captain","Fountain of Renewal","Crucible","Travel Boots","15"
"Joule","jungler","Travel Boots","Sorrowblade","Tornado Trigger","15"
"Vox","carry","Breaking Point","Tyrant's Monocle","Tyrant's Monocle","14"
"Ringo","carry","Sorrowblade","Blazing Salvo","Travel Boots","14"
"SAW","carry","Serpent Mask","Sorrowblade","Aegis","14"
"SAW","carry","Serpent Mask","Travel Boots","Sorrowblade","14"
"Taka","jungler","Stormcrown","Travel Boots","Clockwork","14"
"Taka","captain","Stormcrown","Travel Boots","Aftershock","14"
"Taka","jungler","Lucky Strike","Travel Boots","Stormcrown","14"
"Ardan","captain","Fountain of Renewal","Stormcrown","Travel Boots","14"
"Rona","jungler","Serpent Mask","Breaking Point","Metal Jacket","14"
"Ardan","captain","Fountain of Renewal","War Treads","Atlas Pauldron","14"
"Ozo","jungler","Aftershock","Travel Boots","Broken Myth","14"
"Samuel","carry","Eve of Harvest","Broken Myth","Travel Boots","14"
"Lance","captain","Travel Boots","Fountain of Renewal","Crucible","14"
"Gwen","carry","Travel Boots","Sorrowblade","Breaking Point","14"
"Lyra","captain","Fountain of Renewal","War Treads","Crucible","14"
"Vox","carry","Breaking Point","Tyrant's Monocle","Journey Boots","13"
"Vox","carry","Breaking Point","Coat of Plates","Tyrant's Monocle","13"
"Catherine","captain","Fountain of Renewal","Crucible","War Treads","13"
"Ringo","carry","Sorrowblade","Tornado Trigger","Sprint Boots","13"
"Ringo","carry","Sorrowblade","Breaking Point","Aegis","13"
"Ringo","carry","Sorrowblade","Tornado Trigger","Aegis","13"
"Ringo","carry","Sorrowblade","Travel Boots","Tornado Trigger","13"
"Ringo","captain","Sorrowblade","Blazing Salvo","Travel Boots","13"
"Koshka","jungler","Shatterglass","Aftershock","Travel Boots","13"
"Glaive","jungler",NULL,NULL,NULL,"13"
"Krul","jungler","Tornado Trigger","Serpent Mask","Travel Boots","13"
"Skaarf","carry","Travel Boots","Shatterglass","Eve of Harvest","13"
"Ardan","captain","Fountain of Renewal","Stormcrown","War Treads","13"
"Fortress","captain","Fountain of Renewal","Stormcrown","War Treads","13"
"Reim","jungler","Alternating Current","Eve of Harvest","Travel Boots","13"
"Alpha","jungler","Sorrowblade","Breaking Point","Travel Boots","13"
"Alpha","jungler","Stormcrown","Aftershock","Halcyon Chargers","13"
"Lance","captain","Travel Boots","Fountain of Renewal","Atlas Pauldron","13"
"Gwen","carry","Sorrowblade","Tornado Trigger","Travel Boots","13"
"Gwen","carry","Tension Bow","Coat of Plates","Sorrowblade","13"
"Lyra","captain","Fountain of Renewal","Atlas Pauldron","Crucible","13"
"Vox","carry","Sorrowblade","Tornado Trigger","Halcyon Chargers","12"
"Vox","carry","Breaking Point","Sorrowblade","Travel Boots","12"
"Catherine","carry","War Treads","Fountain of Renewal","Stormcrown","12"
"Catherine","captain",NULL,NULL,NULL,"12"
"Catherine","captain","Fountain of Renewal","Stormcrown","Crucible","12"
"Ringo","captain","Sorrowblade","Tornado Trigger","Travel Boots","12"
"Koshka","jungler","Aftershock","Broken Myth","Halcyon Chargers","12"
"Koshka","jungler",NULL,NULL,NULL,"12"
"Koshka","jungler","Aftershock","Aegis","Halcyon Chargers","12"
"Adagio","captain","War Treads","Fountain of Renewal","Atlas Pauldron","12"
"SAW","carry","Sorrowblade","Serpent Mask","War Treads","12"
"Skaarf","carry","Travel Boots","Eve of Harvest","Broken Myth","12"
"Skaarf","carry","Eve of Harvest","Broken Myth","Travel Boots","12"
"Skaarf","carry","Eve of Harvest","Travel Boots","Broken Myth","12"
"Ardan","jungler","War Treads","Fountain of Renewal","Stormcrown","12"
"Ardan","captain","War Treads","Fountain of Renewal","Atlas Pauldron","12"
"Skye","carry","Eve of Harvest","Frostburn","Travel Boots","12"
"Kestrel","jungler","Shatterglass","Clockwork","Shatterglass","12"
"Flicker","captain","Fountain of Renewal","Crucible","Travel Boots","12"
"Lyra","carry","Alternating Current","Fountain of Renewal","Eve of Harvest","12"
"Lyra","carry","Eve of Harvest","Alternating Current","Fountain of Renewal","12"
"Vox","carry","Travel Boots","Breaking Point","Sorrowblade","11"
"Catherine","carry","Fountain of Renewal","Stormcrown","Travel Boots","11"
"Ringo","carry","Sorrowblade","Breaking Point","Tyrant's Monocle","11"
"Ringo","carry","Travel Boots","Sorrowblade","Tornado Trigger","11"
"Ringo","carry","Sorrowblade","Breaking Point","Sprint Boots","11"
"Ringo","carry","Sorrowblade","Travel Boots","Tyrant's Monocle","11"
"Koshka","jungler","Aftershock","Broken Myth","Aegis","11"
"Koshka","jungler","Shatterglass","Aegis","Travel Boots","11"
"Koshka","jungler","Shatterglass","Broken Myth","Travel Boots","11"
"SAW","carry","Sorrowblade","Travel Boots","Serpent Mask","11"
"SAW","carry","Sorrowblade","Serpent Mask","Reflex Block","11"
"SAW","carry","Sorrowblade","Serpent Mask","Tyrant's Monocle","11"
"Glaive","captain","Sorrowblade","Tornado Trigger","Travel Boots","11"
"SAW","carry","Serpent Mask","Sorrowblade","Sprint Boots","11"
"SAW","carry","Sprint Boots","Sorrowblade","Serpent Mask","11"
"Ardan","captain","Fountain of Renewal","Stormcrown","Crucible","11"
"Ardan","captain","War Treads","Fountain of Renewal","Stormcrown","11"
"Phinn","captain","War Treads","Fountain of Renewal","Crucible","11"
"Ozo","jungler","Aftershock","Broken Myth","Travel Boots","11"
"Alpha","jungler",NULL,NULL,NULL,"11"
"Alpha","jungler","Aftershock","Broken Myth","Travel Boots","11"
"Samuel","jungler","Frostburn","Eve of Harvest","Travel Boots","11"
"Lance","captain","Fountain of Renewal","Stormcrown","Crucible","11"
"Lance","captain","War Treads","Fountain of Renewal","Stormcrown","11"
"Gwen","carry","Sorrowblade","Breaking Point","Aegis","11"
"Flicker","jungler","War Treads","Aftershock","Stormcrown","11"
"Idris","jungler","Shatterglass","Alternating Current","Travel Boots","11"
"Idris","jungler","Sorrowblade","Poisoned Shiv","Travel Boots","11"
"Flicker","captain","War Treads","Eclipse Prism","Stormcrown","11"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Crucible","11"
"Lyra","carry","Alternating Current","Travel Boots","Stormcrown","11"
"Vox","carry","Breaking Point","Light Armor","Sorrowblade","10"
"Catherine","carry","Fountain of Renewal","Stormcrown","War Treads","10"
"Catherine","captain","Fountain of Renewal","Travel Boots","Stormcrown","10"
"Ringo","carry","Sorrowblade","Halcyon Chargers","Breaking Point","10"
"Glaive","jungler","Tornado Trigger","Sorrowblade","Travel Boots","10"
"Glaive","jungler","Sorrowblade","Blazing Salvo","Travel Boots","10"
"Krul","jungler","Breaking Point","Travel Boots","Sorrowblade","10"
"Taka","jungler","Shatterglass","Clockwork","Sprint Boots","10"
"Taka","jungler","Stormcrown","Sprint Boots","Aftershock","10"
"Taka","captain","Stormcrown","Aftershock","Travel Boots","10"
"Ardan","captain","Fountain of Renewal","Contraption","War Treads","10"
"Ardan","captain",NULL,NULL,NULL,"10"
"Ardan","captain","Fountain of Renewal","Crucible","Sprint Boots","10"
"Fortress","jungler","Fountain of Renewal","Travel Boots","Stormcrown","10"
"Fortress","jungler","Fountain of Renewal","Stormcrown","War Treads","10"
"Rona","jungler",NULL,NULL,NULL,"10"
"Fortress","captain","Fountain of Renewal","Stormcrown","Travel Boots","10"
"Fortress","captain","Fountain of Renewal","Crucible","War Treads","10"
"Skye","carry","Frostburn","Travel Boots","Eve of Harvest","10"
"Skye","carry","Sorrowblade","Breaking Point","Travel Boots","10"
"Blackfeather","carry","Serpent Mask","Breaking Point","Travel Boots","10"
"Skye","jungler","Frostburn","Broken Myth","Travel Boots","10"
"Phinn","captain","Fountain of Renewal","War Treads","Crucible","10"
"Kestrel","carry","Sorrowblade","Breaking Point","Tyrant's Monocle","10"
"Samuel","carry","Travel Boots","Eve of Harvest","Broken Myth","10"
"Lance","captain","Fountain of Renewal","Travel Boots","Crucible","10"
"Lance","captain","Crucible","Fountain of Renewal","War Treads","10"
"Lance","captain","War Treads","Crucible","Fountain of Renewal","10"
"Idris","jungler","Sorrowblade","Tornado Trigger","War Treads","10"
"Idris","jungler","Sorrowblade","Tornado Trigger","Tyrant's Monocle","10"
"Lyra","carry","Eve of Harvest","Alternating Current","Heavy Prism","10"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Travel Boots","10"
"Lyra","captain","Fountain of Renewal","War Treads","Stormcrown","10"
"Vox","carry","Travel Boots","Sorrowblade","Breaking Point","9"
"Vox","carry","Breaking Point","Tyrant's Monocle","Aegis","9"
"Vox","carry","Breaking Point","Aegis","Journey Boots","9"
"Vox","carry","Breaking Point","Coat of Plates","Sorrowblade","9"
"Celeste","carry","Frostburn","Broken Myth","Eve of Harvest","9"
"Celeste","jungler","Frostburn","Eve of Harvest","Halcyon Chargers","9"
"Catherine","jungler","Fountain of Renewal","Travel Boots","Stormcrown","9"
"Catherine","captain","Fountain of Renewal","Contraption","War Treads","9"
"Catherine","captain","Stormcrown","Fountain of Renewal","Travel Boots","9"
"Ringo","carry","Sorrowblade","Tornado Trigger","Journey Boots","9"
"Ringo","carry","Sorrowblade","Tyrant's Monocle","Travel Boots","9"
"Ringo","carry","Sorrowblade","Tyrant's Monocle","Tornado Trigger","9"
"Adagio","carry","Journey Boots","Alternating Current","Broken Myth","9"
"Adagio","captain","Ironguard Contract","Fountain of Renewal","War Treads","9"
"Glaive","carry","Sorrowblade","Tornado Trigger","Travel Boots","9"
"Koshka","jungler","Aftershock","Broken Myth","Sprint Boots","9"
"Glaive","jungler","Halcyon Chargers","Stormcrown","Aftershock","9"
"Petal","jungler","Frostburn","Travel Boots","Broken Myth","9"
"SAW","carry","Serpent Mask","Travel Boots","Metal Jacket","9"
"SAW","carry","Sorrowblade","Serpent Mask","Journey Boots","9"
"SAW","carry","Sprint Boots","Serpent Mask","Sorrowblade","9"
"Taka","jungler","Aftershock","Travel Boots","Stormcrown","9"
"Skaarf","carry","Halcyon Chargers","Eve of Harvest","Broken Myth","9"
"Skaarf","carry","Eve of Harvest","Alternating Current","Frostburn","9"
"Ardan","captain","Fountain of Renewal","Travel Boots","Atlas Pauldron","9"
"Ardan","captain","Fountain of Renewal","War Treads","Contraption","9"
"Fortress","captain","War Treads","Fountain of Renewal","Stormcrown","9"
"Skye","jungler","Frostburn","Broken Myth","Eve of Harvest","9"
"Blackfeather","jungler","Breaking Point","Serpent Mask","Travel Boots","9"
"Kestrel","jungler","Shatterglass","Clockwork","Broken Myth","9"
"Kestrel","jungler","Shatterglass","Broken Myth","Halcyon Chargers","9"
"Phinn","captain","Fountain of Renewal","Stormcrown","Crucible","9"
"Phinn","captain","Fountain of Renewal","War Treads","Atlas Pauldron","9"
"Phinn","captain","War Treads","Fountain of Renewal","Atlas Pauldron","9"
"Kestrel","jungler","Shatterglass","Halcyon Chargers","Broken Myth","9"
"Reim","jungler","Eve of Harvest","Broken Myth","Travel Boots","9"
"Alpha","jungler","Aftershock","Broken Myth","Sprint Boots","9"
"Alpha","jungler","Stormcrown","Aftershock","Broken Myth","9"
"Samuel","jungler","Frostburn","Broken Myth","Travel Boots","9"
"Lance","captain",NULL,NULL,NULL,"9"
"Lance","captain","Fountain of Renewal","War Treads","Stormcrown","9"
"Lance","captain","Atlas Pauldron","Fountain of Renewal","Crucible","9"
"Lance","captain","Fountain of Renewal","Coat of Plates","War Treads","9"
"Baron","carry","Travel Boots","Sorrowblade","Breaking Point","9"
"Gwen","carry","Tension Bow","Sorrowblade","Travel Boots","9"
"Gwen","carry","Sorrowblade","Breaking Point","Journey Boots","9"
"Flicker","captain","War Treads","Aftershock","Stormcrown","9"
"Lyra","carry","Eve of Harvest","Fountain of Renewal","Blazing Salvo","9"
"Vox","carry","Sorrowblade","Tornado Trigger","Sprint Boots","8"
"Vox","carry","Sorrowblade","Breaking Point","Tyrant's Monocle","8"
"Vox","carry","Breaking Point","Coat of Plates","Poisoned Shiv","8"
"Vox","carry","Breaking Point","Aegis","Travel Boots","8"
"Vox","carry","Breaking Point","Light Armor","Poisoned Shiv","8"
"Catherine","carry","Fountain of Renewal","War Treads","Stormcrown","8"
"Catherine","captain","Fountain of Renewal","War Treads","Stormcrown","8"
"Catherine","captain","Fountain of Renewal","Crucible","Stormcrown","8"
"Catherine","captain","Stormcrown","Fountain of Renewal","War Treads","8"
"Catherine","captain","Fountain of Renewal","Ironguard Contract","Travel Boots","8"
"Ringo","carry","Sorrowblade","Breaking Point","Reflex Block","8"
"Ringo","carry","Sorrowblade","Poisoned Shiv","Travel Boots","8"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Halcyon Chargers","8"
"Catherine","captain","Fountain of Renewal","War Treads","Atlas Pauldron","8"
"Ringo","captain","Sorrowblade","Breaking Point","Travel Boots","8"
"Koshka","jungler","Broken Myth","Aftershock","Sprint Boots","8"
"Koshka","jungler","Aftershock","Aegis","Broken Myth","8"
"Petal","jungler","Frostburn","Travel Boots","Shatterglass","8"
"SAW","carry","Serpent Mask","Aegis","Sorrowblade","8"
"SAW","carry","Sorrowblade","Serpent Mask","Halcyon Chargers","8"
"Krul","jungler","Sorrowblade","Tornado Trigger","Travel Boots","8"
"Krul","jungler","Breaking Point","Aegis","Travel Boots","8"
"Skaarf","carry","Eve of Harvest","Broken Myth","Halcyon Chargers","8"
"Taka","jungler","Shatterglass","Clockwork","Travel Boots","8"
"Ardan","captain","Fountain of Renewal","Contraption","Travel Boots","8"
"Ardan","captain","Fountain of Renewal","Atlas Pauldron","Travel Boots","8"
"Ardan","captain","Fountain of Renewal","Crucible","Stormcrown","8"
"Fortress","jungler","Travel Boots","Stormcrown","Fountain of Renewal","8"
"Rona","jungler","Serpent Mask","Metal Jacket","Breaking Point","8"
"Fortress","captain","Stormcrown","Fountain of Renewal","War Treads","8"
"Blackfeather","carry","Serpent Mask","Breaking Point","Journey Boots","8"
"Blackfeather","carry","Serpent Mask","Atlas Pauldron","Aegis","8"
"Skye","jungler","Frostburn","Eve of Harvest","Broken Myth","8"
"Blackfeather","jungler",NULL,NULL,NULL,"8"
"Blackfeather","jungler","Serpent Mask","Travel Boots","Breaking Point","8"
"Phinn","captain",NULL,NULL,NULL,"8"
"Kestrel","jungler","Shatterglass","Clockwork","Sprint Boots","8"
"Kestrel","jungler","Shatterglass","Halcyon Chargers","Shatterglass","8"
"Reim","jungler","Broken Myth","Eve of Harvest","Travel Boots","8"
"Ozo","jungler","Aegis","Aftershock","Travel Boots","8"
"Alpha","jungler","Aftershock","Broken Myth","Aegis","8"
"Kestrel","captain","Shatterglass","Clockwork","Halcyon Chargers","8"
"Samuel","carry","Eve of Harvest","Travel Boots","Broken Myth","8"
"Lance","captain","Ironguard Contract","Fountain of Renewal","War Treads","8"
"Gwen","carry","Sorrowblade","Breaking Point","Tyrant's Monocle","8"
"Gwen","carry","Sorrowblade","Aegis","Breaking Point","8"
"Idris","carry","Sorrowblade","Poisoned Shiv","Travel Boots","8"
"Idris","carry","Sorrowblade","Tornado Trigger","Sprint Boots","8"
"Idris","jungler","Sorrowblade","Tornado Trigger","Slumbering Husk","8"
"Lyra","captain","Fountain of Renewal","Stormcrown","War Treads","8"
"Joule","jungler",NULL,NULL,NULL,"8"
"Joule","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","8"
"Joule","jungler","Sorrowblade","Blazing Salvo","Travel Boots","8"
"Vox","carry","Alternating Current","Broken Myth","Travel Boots","7"
"Vox","carry","Breaking Point","Tyrant's Monocle","Halcyon Chargers","7"
"Vox","carry","Sorrowblade","Tornado Trigger","Tyrant's Monocle","7"
"Vox","carry","Breaking Point","Metal Jacket","Poisoned Shiv","7"
"Celeste","carry","Frostburn","Eve of Harvest","Halcyon Chargers","7"
"Catherine","jungler","Fountain of Renewal","Stormcrown","Travel Boots","7"
"Catherine","captain","Travel Boots","Stormcrown","Fountain of Renewal","7"
"Catherine","captain","Fountain of Renewal","Stormcrown","Halcyon Chargers","7"
"Catherine","captain","Fountain of Renewal","Atlas Pauldron","Travel Boots","7"
"Catherine","captain","Fountain of Renewal","Travel Boots","Contraption","7"
"Catherine","captain","Fountain of Renewal","Stormcrown","Contraption","7"
"Ringo","carry","Breaking Point","Sorrowblade","Travel Boots","7"
"Ringo","carry","Sorrowblade","Journey Boots","Tornado Trigger","7"
"Ringo","carry","Sorrowblade","Tyrant's Monocle","Breaking Point","7"
"Ringo","jungler","Sorrowblade","Tornado Trigger","Tyrant's Monocle","7"
"Catherine","captain","Fountain of Renewal","Crucible","Atlas Pauldron","7"
"Adagio","carry","Alternating Current","Journey Boots","Broken Myth","7"
"Koshka","jungler","Aegis","Halcyon Chargers","Aftershock","7"
"Koshka","jungler","Aftershock","Aegis","Travel Boots","7"
"Koshka","jungler","Shatterglass","Stormcrown","Travel Boots","7"
"Adagio","captain","Fountain of Renewal","Contraption","War Treads","7"
"Adagio","captain","Contraption","Fountain of Renewal","War Treads","7"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Metal Jacket","7"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Aegis","7"
"Glaive","jungler","Sorrowblade","Tornado Trigger","War Treads","7"
"Glaive","jungler","Stormcrown","Halcyon Chargers","Aftershock","7"
"Glaive","jungler","Sorrowblade","Tornado Trigger","Sprint Boots","7"
"Glaive","jungler","Swift Shooter","Stormcrown","Aftershock","7"
"SAW","carry","Shatterglass","Travel Boots","Eve of Harvest","7"
"SAW","carry","Serpent Mask","Sorrowblade","Metal Jacket","7"
"Taka","jungler","Broken Myth","Stormcrown","Halcyon Chargers","7"
"Taka","jungler","Shatterglass","Travel Boots","Clockwork","7"
"Taka","jungler","Stormcrown","Halcyon Chargers","Broken Myth","7"
"Taka","jungler","Stormcrown","Travel Boots","Broken Myth","7"
"Taka","jungler","Stormcrown","Aftershock","Broken Myth","7"
"Taka","jungler","Shatterglass","Clockwork","Halcyon Chargers","7"
"Taka","jungler","Stormcrown","Travel Boots","Shatterglass","7"
"Skaarf","captain","Shatterglass","Eve of Harvest","Travel Boots","7"
"Ardan","captain","Fountain of Renewal","Travel Boots","Crucible","7"
"Ardan","captain","Crucible","Fountain of Renewal","War Treads","7"
"Ardan","captain","Contraption","War Treads","Fountain of Renewal","7"
"Ardan","captain","Fountain of Renewal","Crucible","Contraption","7"
"Fortress","jungler",NULL,NULL,NULL,"7"
"Fortress","jungler","Stormcrown","Aftershock","Fountain of Renewal","7"
"Rona","jungler","Serpent Mask","Travel Boots","Breaking Point","7"
"Rona","jungler","Breaking Point","Serpent Mask","Travel Boots","7"
"Rona","jungler","Halcyon Potion","Serpent Mask","Breaking Point","7"
"Fortress","captain","Fountain of Renewal","Crucible","Travel Boots","7"
"Kestrel","carry","Sorrowblade","Aegis","Breaking Point","7"
"Skye","jungler","Frostburn","Eve of Harvest","Travel Boots","7"
"Blackfeather","jungler","Alternating Current","Aegis","Travel Boots","7"
"Phinn","captain","Fountain of Renewal","Crucible","War Treads","7"
"Kestrel","carry","Shatterglass","Clockwork","Travel Boots","7"
"Kestrel","carry","Sorrowblade","Breaking Point","Journey Boots","7"
"Reim","jungler","Eve of Harvest","Travel Boots","Broken Myth","7"
"Ozo","jungler","Broken Myth","Aftershock","Travel Boots","7"
"Ozo","jungler","Aftershock","Travel Boots","Aegis","7"
"Ozo","jungler","Aftershock","Halcyon Chargers","Metal Jacket","7"
"Ozo","jungler","Aftershock","Broken Myth","Halcyon Chargers","7"
"Ozo","jungler","Aftershock","Eve of Harvest","Travel Boots","7"
"Alpha","jungler","Travel Boots","Stormcrown","Aftershock","7"
"Alpha","jungler","Aftershock","Kinetic Shield","Broken Myth","7"
"Alpha","captain","Stormcrown","Aftershock","Travel Boots","7"
"Samuel","jungler","Frostburn","Eve of Harvest","Broken Myth","7"
"Samuel","jungler","Frostburn","Eve of Harvest","Halcyon Chargers","7"
"Lance","captain","Fountain of Renewal","Stormcrown","War Treads","7"
"Lance","captain","Ironguard Contract","Fountain of Renewal","Travel Boots","7"
"Lance","captain","Crucible","Fountain of Renewal","Atlas Pauldron","7"
"Gwen","carry",NULL,NULL,NULL,"7"
"Gwen","carry","Tension Bow","Sorrowblade","Breaking Point","7"
"Gwen","carry","Shatterglass","Clockwork","Travel Boots","7"
"Gwen","carry","Sorrowblade","Tension Bow","Breaking Point","7"
"Idris","carry","Shatterglass","Alternating Current","Travel Boots","7"
"Idris","carry","Sorrowblade","Tornado Trigger","Metal Jacket","7"
