"Catherine","captain","Travel Boots","Fountain of Renewal","39"
"Skaarf","carry","Eve of Harvest","Broken Myth","39"
"Catherine","captain","Fountain of Renewal","Travel Boots","38"
"Alpha","jungler","Stormcrown","Travel Boots","38"
"Koshka","jungler","Shatterglass","Travel Boots","37"
"Koshka","jungler","Shatterglass","Aftershock","37"
"Phinn","captain","Fountain of Renewal","War Treads","37"
"Alpha","jungler","Aftershock","Stormcrown","37"
"Gwen","carry","Tension Bow","Sorrowblade","37"
"Idris","carry","Poisoned Shiv","Sorrowblade","37"
"Koshka","jungler","Shatterglass","Broken Myth","36"
"Skye","jungler","Frostburn","Broken Myth","36"
"Samuel","jungler","Frostburn","Eve of Harvest","36"
"Catherine","jungler","Fountain of Renewal","Stormcrown","35"
"Catherine","captain","Stormcrown","Fountain of Renewal","35"
"Blackfeather","carry","Serpent Mask","Breaking Point","35"
"Lance","captain","Crucible","Fountain of Renewal","35"
"Ringo","carry","Sorrowblade","Blazing Salvo","34"
"Krul","jungler","Sorrowblade","Tornado Trigger","34"
"Fortress","captain","Fountain of Renewal","Stormcrown","34"
"Ozo","jungler","Aftershock","Broken Myth","34"
"Gwen","carry","Sorrowblade","Tornado Trigger","34"
"Petal","jungler","Frostburn","Travel Boots","33"
"Ozo","jungler","Aftershock","Eve of Harvest","33"
"Idris","jungler","Poisoned Shiv","Sorrowblade","33"
"Vox","carry","Breaking Point","Sorrowblade","32"
"Vox","carry","Breaking Point","Light Armor","32"
"Catherine","carry","Fountain of Renewal","Stormcrown","32"
"Koshka","jungler","Aftershock","Aegis","32"
"Glaive","jungler","Travel Boots","Sorrowblade","32"
"Ardan","captain","Fountain of Renewal","Contraption","32"
"Fortress","captain","Fountain of Renewal","Crucible","32"
"Skye","jungler","Frostburn","Eve of Harvest","32"
"Kestrel","jungler","Shatterglass","Halcyon Chargers","32"
"Lance","captain","Fountain of Renewal","Stormcrown","32"
"Koshka","jungler","Broken Myth","Aftershock","31"
"Adagio","captain","Fountain of Renewal","Crucible","31"
"Lance","captain","Ironguard Contract","Fountain of Renewal","31"
"Catherine","captain","Fountain of Renewal","War Treads","30"
"Krul","jungler","Breaking Point","Travel Boots","30"
"Taka","jungler","Travel Boots","Stormcrown","30"
"Ardan","captain","Fountain of Renewal","Travel Boots","30"
"Idris","carry","Sorrowblade","Poisoned Shiv","30"
"Joule","jungler","Sorrowblade","Blazing Salvo","30"
"Ringo","carry","Sorrowblade","Halcyon Chargers","29"
"Taka","jungler","Shatterglass","Stormcrown","29"
"Idris","jungler","Sorrowblade","Poisoned Shiv","29"
"Idris","jungler","Shatterglass","Alternating Current","29"
"Flicker","captain","Fountain of Renewal","Crucible","29"
"Lyra","captain","War Treads","Fountain of Renewal","29"
"Ringo","carry","Sorrowblade","Aegis","28"
"Taka","jungler","Stormcrown","Sprint Boots","28"
"Ardan","captain","Crucible","Fountain of Renewal","28"
"Lyra","captain","Fountain of Renewal","Atlas Pauldron","28"
"Catherine","captain","Fountain of Renewal","Contraption","27"
"Adagio","carry","Fountain of Renewal","War Treads","27"
"Koshka","jungler","Shatterglass","Aegis","27"
"Koshka","jungler","Aftershock","Travel Boots","27"
"Krul","jungler","Breaking Point","Tornado Trigger","27"
"Ardan","captain","Fountain of Renewal","Ironguard Contract","27"
"Reim","jungler","Eve of Harvest","Travel Boots","27"
"Reim","jungler","Eve of Harvest","Broken Myth","27"
"Alpha","jungler","Sorrowblade","Breaking Point","27"
"Samuel","carry","Eve of Harvest","Broken Myth","27"
"Lyra","carry","Alternating Current","Eve of Harvest","27"
"Lyra","carry","Fountain of Renewal","Eve of Harvest","27"
"Catherine","captain","Fountain of Renewal","Ironguard Contract","26"
"Ringo","carry","Breaking Point","Sorrowblade","26"
"Ringo","captain","Sorrowblade","Blazing Salvo","26"
"Ringo","captain","Sorrowblade","Tornado Trigger","26"
"Glaive","jungler","Sorrowblade","Breaking Point","26"
"Ardan","captain","Travel Boots","Fountain of Renewal","26"
"Fortress","jungler","Fountain of Renewal","Stormcrown","26"
"Vox","carry","Breaking Point","Travel Boots","25"
"Catherine","captain","Crucible","Fountain of Renewal","25"
"Catherine","captain","Fountain of Renewal","Atlas Pauldron","25"
"Kestrel","jungler","Shatterglass","Broken Myth","25"
"Kestrel","captain","Shatterglass","Clockwork","25"
"Gwen","carry","Sorrowblade","Tension Bow","25"
"Celeste","carry","Eve of Harvest","Broken Myth","24"
"Fortress","jungler","Stormcrown","Aftershock","24"
"Skye","carry","Sorrowblade","Breaking Point","24"
"Alpha","jungler","Aftershock","Travel Boots","24"
"Lyra","carry","Alternating Current","Fountain of Renewal","24"
"Celeste","jungler","Frostburn","Eve of Harvest","23"
"Glaive","jungler","Sorrowblade","Travel Boots","23"
"Petal","jungler","Frostburn","Halcyon Chargers","23"
"Phinn","captain","Fountain of Renewal","Crucible","23"
"Reim","jungler","Halcyon Chargers","Broken Myth","23"
"Ozo","jungler","Aftershock","Halcyon Chargers","23"
"Lance","captain","Fountain of Renewal","Travel Boots","23"
"Vox","carry","Sorrowblade","Poisoned Shiv","22"
"Vox","carry","Travel Boots","Breaking Point","22"
"Vox","carry",NULL,NULL,"22"
"Ringo","carry","Tornado Trigger","Sorrowblade","22"
"Koshka","jungler","Aftershock","Shatterglass","22"
"Koshka","jungler","Aftershock","Halcyon Chargers","22"
"SAW","carry","Travel Boots","Serpent Mask","22"
"Skaarf","carry","Eve of Harvest","Shatterglass","22"
"Taka","jungler","Lucky Strike","Travel Boots","22"
"Fortress","jungler","Stormcrown","Fountain of Renewal","22"
"Kestrel","carry","Shatterglass","Clockwork","22"
"Gwen","carry","Tension Bow","Coat of Plates","22"
"Lyra","captain","Fountain of Renewal","Stormcrown","22"
"SAW","carry","Sorrowblade","Travel Boots","21"
"Taka","jungler","Stormcrown","Broken Myth","21"
"Skaarf","carry","Eve of Harvest","Alternating Current","21"
"Ardan","captain","Ironguard Contract","Fountain of Renewal","21"
"Ardan","captain","Fountain of Renewal","Sprint Boots","21"
"Blackfeather","carry","Serpent Mask","Atlas Pauldron","21"
"Reim","jungler","Broken Myth","Eve of Harvest","21"
"Samuel","jungler","Frostburn","Broken Myth","21"
"Lance","captain","Atlas Pauldron","Fountain of Renewal","21"
"Lance","captain","War Treads","Atlas Pauldron","21"
"Vox","carry","Breaking Point","Poisoned Shiv","20"
"Celeste","carry","Frostburn","Broken Myth","20"
"Catherine","captain","Fountain of Renewal","Metal Jacket","20"
"Ringo","carry","Sorrowblade","Reflex Block","20"
"Glaive","jungler","Sorrowblade","Blazing Salvo","20"
"SAW","carry","Serpent Mask","Tyrant's Monocle","20"
"Taka","jungler",NULL,NULL,"20"
"Taka","captain","Stormcrown","Travel Boots","20"
"Lance","captain","Fountain of Renewal","Coat of Plates","20"
"Baron","carry","Sorrowblade","Tornado Trigger","20"
"Gwen","carry","Tension Bow","Breaking Point","20"
"Idris","carry","Sorrowblade","Travel Boots","20"
"Idris","jungler","Tornado Trigger","Sorrowblade","20"
"Grumpjaw","jungler","Sorrowblade","Travel Boots","20"
"Joule","jungler","Sorrowblade","Tyrant's Monocle","20"
"Celeste","carry","Frostburn","Eve of Harvest","19"
"Ringo","carry","Sorrowblade","Poisoned Shiv","19"
"Koshka","jungler","Aftershock","Sprint Boots","19"
"Glaive","carry","Sorrowblade","Tornado Trigger","19"
"Glaive","jungler","Breaking Point","Sorrowblade","19"
"Krul","jungler","Tornado Trigger","Serpent Mask","19"
"Taka","jungler","Broken Myth","Stormcrown","19"
"Ardan","captain","Atlas Pauldron","Fountain of Renewal","19"
"Fortress","jungler","War Treads","Fountain of Renewal","19"
"Reim","jungler","Alternating Current","Eve of Harvest","19"
"Alpha","jungler","Broken Myth","Aftershock","19"
"Alpha","jungler","Aftershock","Aegis","19"
"Gwen","carry","Breaking Point","Sorrowblade","19"
"Gwen","carry","Travel Boots","Sorrowblade","19"
"Idris","carry","Shatterglass","Alternating Current","19"
"Lyra","captain","Fountain of Renewal","Halcyon Chargers","19"
"Joule","jungler","Travel Boots","Sorrowblade","19"
"Vox","carry","Alternating Current","Broken Myth","18"
"Catherine","captain","Contraption","Fountain of Renewal","18"
"Catherine","captain","War Treads","Fountain of Renewal","18"
"Adagio","carry","Journey Boots","Alternating Current","18"
"Koshka","jungler","Shatterglass","Stormcrown","18"
"Glaive","jungler","Stormcrown","Aftershock","18"
"Glaive","jungler","Aftershock","Stormcrown","18"
"Petal","jungler","Alternating Current","Frostburn","18"
"Taka","jungler","Stormcrown","Shatterglass","18"
"Skaarf","carry","Eve of Harvest","Travel Boots","18"
"Phinn","captain","Fountain of Renewal","Travel Boots","18"
"Kestrel","jungler","Sorrowblade","Breaking Point","18"
"Kestrel","jungler","Shatterglass","Void Battery","18"
"Ozo","jungler","Aftershock","Aegis","18"
"Lance","captain","Stormcrown","Fountain of Renewal","18"
"Gwen","carry","Shatterglass","Clockwork","18"
"Lyra","carry","Alternating Current","Alternating Current","18"
"Lyra","captain","Fountain of Renewal","Contraption","18"
"Catherine","captain","Stormcrown","Travel Boots","17"
"Catherine","captain","Ironguard Contract","Fountain of Renewal","17"
"Ringo","carry","Sorrowblade","Bonesaw","17"
"Adagio","captain","Ironguard Contract","Fountain of Renewal","17"
"SAW","carry","Shatterglass","Travel Boots","17"
"Krul","jungler","Breaking Point","Sorrowblade","17"
"Krul","jungler","Breaking Point","Journey Boots","17"
"Ardan","captain","Contraption","Fountain of Renewal","17"
"Rona","jungler","Serpent Mask","Tornado Trigger","17"
"Phinn","captain","Fountain of Renewal","Stormcrown","17"
"Baron","carry","Travel Boots","Sorrowblade","17"
"Flicker","captain","War Treads","Fountain of Renewal","17"
"Lyra","captain","Halcyon Chargers","Fountain of Renewal","17"
"Lyra","captain","Fountain of Renewal","Ironguard Contract","17"
"Vox","carry","Travel Boots","Sorrowblade","16"
"Celeste","carry","Broken Myth","Eve of Harvest","16"
"Catherine","carry","Stormcrown","Fountain of Renewal","16"
"Catherine","jungler","Stormcrown","Fountain of Renewal","16"
"Ringo","carry","Sorrowblade","Metal Jacket","16"
"Petal","jungler",NULL,NULL,"16"
"Petal","jungler","Frostburn","Shatterglass","16"
"Glaive","captain","Sorrowblade","Tornado Trigger","16"
"SAW","carry","Serpent Mask","Aegis","16"
"Taka","captain","Stormcrown","Sprint Boots","16"
"Skaarf","carry","Broken Myth","Eve of Harvest","16"
"Skaarf","carry","Travel Boots","Eve of Harvest","16"
"Skaarf","carry","Eve of Harvest","Frostburn","16"
"Ardan","captain","Stormcrown","Fountain of Renewal","16"
"Rona","jungler","Serpent Mask","Travel Boots","16"
"Fortress","captain","Fountain of Renewal","War Treads","16"
"Skye","carry","Eve of Harvest","Frostburn","16"
"Skye","jungler","Frostburn","Halcyon Chargers","16"
"Blackfeather","jungler","Alternating Current","Aegis","16"
"Reim","jungler","Travel Boots","Eve of Harvest","16"
"Ozo","jungler","Broken Myth","Aftershock","16"
"Samuel","carry","Eve of Harvest","Travel Boots","16"
"Lance","captain","Fountain of Renewal","Contraption","16"
"Lance","captain","Fountain of Renewal","Ironguard Contract","16"
"Idris","jungler","Sorrowblade","Breaking Point","16"
"Lyra","captain","Crucible","Fountain of Renewal","16"
"Joule","jungler","Frostburn","Travel Boots","16"
"Celeste","carry","Eve of Harvest","Frostburn","15"
"Catherine","captain","Travel Boots","Stormcrown","15"
"Catherine","captain","Fountain of Renewal","Coat of Plates","15"
"Catherine","captain","Fountain of Renewal","Halcyon Chargers","15"
"Ringo","carry",NULL,NULL,"15"
"Ringo","jungler","Sorrowblade","Breaking Point","15"
"Koshka","jungler","Shatterglass","Sprint Boots","15"
"SAW","carry",NULL,NULL,"15"
"Krul","jungler","Tornado Trigger","Breaking Point","15"
"Taka","jungler","Aftershock","Broken Myth","15"
"Taka","jungler","Shatterglass","Travel Boots","15"
"Skaarf","carry","Halcyon Chargers","Eve of Harvest","15"
"Ardan","jungler","War Treads","Fountain of Renewal","15"
"Fortress","jungler","Aftershock","Stormcrown","15"
"Fortress","captain","War Treads","Fountain of Renewal","15"
"Skye","carry","Frostburn","Halcyon Chargers","15"
"Skye","carry","Frostburn","Travel Boots","15"
"Blackfeather","jungler","Travel Boots","Serpent Mask","15"
"Blackfeather","jungler","Alternating Current","Broken Myth","15"
"Blackfeather","jungler","Alternating Current","Shatterglass","15"
"Phinn","captain","Crucible","Fountain of Renewal","15"
"Kestrel","jungler","Travel Boots","Shatterglass","15"
"Ozo","jungler","Aegis","Aftershock","15"
"Samuel","carry","Travel Boots","Eve of Harvest","15"
"Baron","carry","Sorrowblade","Travel Boots","15"
"Idris","captain","Sorrowblade","Tornado Trigger","15"
"Catherine","captain","Fountain of Renewal","Sprint Boots","14"
"Koshka","jungler","Shatterglass","Halcyon Chargers","14"
"Koshka","jungler","Aftershock","Stormcrown","14"
"Glaive","jungler","Halcyon Chargers","Stormcrown","14"
"Glaive","jungler","Stormcrown","Halcyon Chargers","14"
"Petal","jungler","Travel Boots","Frostburn","14"
"SAW","carry","Sprint Boots","Sorrowblade","14"
"Taka","jungler","Aftershock","Travel Boots","14"
"Taka","captain","Stormcrown","Aftershock","14"
"Skaarf","carry","Frostburn","Eve of Harvest","14"
"Skaarf","carry","Travel Boots","Shatterglass","14"
"Ardan","jungler","Fountain of Renewal","Stormcrown","14"
"Ardan","captain","Fountain of Renewal","Coat of Plates","14"
"Skye","carry","Frostburn","Eve of Harvest","14"
"Blackfeather","carry","Serpent Mask","Aegis","14"
"Kestrel","carry","Sorrowblade","Aegis","14"
"Blackfeather","jungler","Serpent Mask","Sprint Boots","14"
"Blackfeather","jungler","Serpent Mask","Tornado Trigger","14"
"Blackfeather","jungler","Shatterglass","Broken Myth","14"
"Blackfeather","jungler","Breaking Point","Serpent Mask","14"
"Phinn","captain","Travel Boots","Fountain of Renewal","14"
"Kestrel","carry","Sorrowblade","Travel Boots","14"
"Gwen","carry","Sorrowblade","Travel Boots","14"
"Gwen","carry","Tension Bow","Travel Boots","14"
"Lyra","carry","Alternating Current","Travel Boots","14"
"Joule","carry","Sorrowblade","Tyrant's Monocle","14"
"Joule","carry","Tyrant's Monocle","Sorrowblade","14"
"Vox","carry","Journey Boots","Aegis","13"
"Catherine","carry","War Treads","Fountain of Renewal","13"
"Catherine","captain","Halcyon Chargers","Fountain of Renewal","13"
"Ringo","carry","Halcyon Chargers","Sorrowblade","13"
"Ringo","captain","Sorrowblade","Breaking Point","13"
"Adagio","carry","Alternating Current","Broken Myth","13"
"Adagio","captain","Fountain of Renewal","Travel Boots","13"
"Petal","carry","Frostburn","Halcyon Chargers","13"
"Glaive","jungler",NULL,NULL,"13"
"Petal","jungler","Frostburn","Sprint Boots","13"
"Glaive","captain","Halcyon Chargers","Fountain of Renewal","13"
"SAW","carry","Sorrowblade","Tyrant's Monocle","13"
"Krul","jungler","Breaking Point","Aegis","13"
"Krul","jungler","Breaking Point","Blazing Salvo","13"
"Krul","jungler","Breaking Point","Tyrant's Monocle","13"
"Taka","jungler","Stormcrown","Alternating Current","13"
"Taka","jungler","Halcyon Chargers","Stormcrown","13"
"Fortress","jungler","Travel Boots","Stormcrown","13"
"Phinn","captain","Fountain of Renewal","Atlas Pauldron","13"
"Alpha","jungler","Aftershock","Sprint Boots","13"
"Lance","captain","Contraption","Fountain of Renewal","13"
"Flicker","captain","Fountain of Renewal","War Treads","13"
"Lyra","carry","Fountain of Renewal","War Treads","13"
"Lyra","captain","Stormcrown","Fountain of Renewal","13"
"Vox","carry","Poisoned Shiv","Breaking Point","12"
"Vox","carry","Poisoned Shiv","Sorrowblade","12"
"Vox","carry","Breaking Point","Tornado Trigger","12"
"Vox","carry","Breaking Point","Bonesaw","12"
"Celeste","jungler","Frostburn","Broken Myth","12"
"Catherine","captain",NULL,NULL,"12"
"Ringo","carry","Alternating Current","Shatterglass","12"
"Ringo","carry","Sorrowblade","Light Armor","12"
"Koshka","jungler",NULL,NULL,"12"
"Adagio","captain","Fountain of Renewal","Contraption","12"
"Glaive","jungler","Swift Shooter","Stormcrown","12"
"Petal","jungler","Frostburn","Alternating Current","12"
"SAW","carry","Serpent Mask","Breaking Point","12"
"SAW","carry","Serpent Mask","Halcyon Chargers","12"
"Krul","jungler","Serpent Mask","Tornado Trigger","12"
"Krul","jungler","Tornado Trigger","Tornado Trigger","12"
"Krul","jungler","Breaking Point","Poisoned Shiv","12"
"Taka","jungler","Shatterglass","Halcyon Chargers","12"
"Taka","jungler","Clockwork","Shatterglass","12"
"Skaarf","carry","Shatterglass","Clockwork","12"
"Fortress","jungler","Fountain of Renewal","Travel Boots","12"
"Fortress","captain","Fountain of Renewal","Atlas Pauldron","12"
"Skye","jungler","Eve of Harvest","Frostburn","12"
"Blackfeather","jungler","Serpent Mask","Aegis","12"
"Blackfeather","jungler","Alternating Current","Travel Boots","12"
"Kestrel","jungler","Halcyon Chargers","Shatterglass","12"
"Kestrel","carry","Sorrowblade","Tyrant's Monocle","12"
"Alpha","jungler","Aftershock","Atlas Pauldron","12"
"Gwen","carry","Tension Bow","Halcyon Chargers","12"
"Idris","carry","Travel Boots","Sorrowblade","12"
"Idris","jungler","Travel Boots","Sorrowblade","12"
"Flicker","captain","Fountain of Renewal","Atlas Pauldron","12"
"Flicker","captain","War Treads","Aftershock","12"
"Lyra","carry","Fountain of Renewal","Stormcrown","12"
"Lyra","carry","Alternating Current","Halcyon Chargers","12"
"Lyra","captain","Fountain of Renewal","Energy Battery","12"
"Joule","carry","Sorrowblade","Tornado Trigger","12"
"Joule","jungler","Shatterglass","Echo","12"
"Joule","jungler","Tornado Trigger","Sorrowblade","12"
"Vox","carry","Alternating Current","Eve of Harvest","11"
"Vox","carry","Tyrant's Monocle","Breaking Point","11"
"Catherine","carry","Fountain of Renewal","War Treads","11"
"Catherine","jungler","Fountain of Renewal","Travel Boots","11"
"Catherine","captain","Fountain of Renewal","Aftershock","11"
"Ringo","carry","Sorrowblade","Journey Boots","11"
"Adagio","carry","Alternating Current","Journey Boots","11"
"Adagio","carry","Alternating Current","Aegis","11"
"Adagio","captain","Contraption","Fountain of Renewal","11"
"Adagio","captain","Fountain of Renewal","Atlas Pauldron","11"
"SAW","carry","Shatterglass","Broken Myth","11"
"Glaive","jungler","Sorrowblade","Bonesaw","11"
"Petal","jungler","Shatterglass","Halcyon Chargers","11"
"Krul","jungler","Poisoned Shiv","Blazing Salvo","11"
"Taka","jungler","Stormcrown","Aegis","11"
"Taka","jungler","Stormcrown","Journey Boots","11"
"Taka","jungler","Aftershock","Halcyon Chargers","11"
"Skaarf","carry","Alternating Current","Eve of Harvest","11"
"Skaarf","captain","Shatterglass","Eve of Harvest","11"
"Fortress","jungler","Stormcrown","Travel Boots","11"
"Rona","jungler","Sorrowblade","Tornado Trigger","11"
"Rona","jungler","Serpent Mask","Sorrowblade","11"
"Fortress","captain","Stormcrown","Fountain of Renewal","11"
"Blackfeather","carry","Travel Boots","Serpent Mask","11"
"Blackfeather","carry","Serpent Mask","Metal Jacket","11"
"Blackfeather","carry","Serpent Mask","Travel Boots","11"
"Kestrel","carry","Shatterglass","Shatterglass","11"
"Skye","jungler","Frostburn","Travel Boots","11"
"Kestrel","jungler","Shatterglass","Travel Boots","11"
"Reim","jungler","Eve of Harvest","Aegis","11"
"Alpha","jungler",NULL,NULL,"11"
"Alpha","jungler","Aftershock","Kinetic Shield","11"
"Samuel","carry","Broken Myth","Eve of Harvest","11"
"Samuel","jungler","Broken Myth","Eve of Harvest","11"
"Lance","captain","War Treads","Crucible","11"
"Baron","carry","Sorrowblade","Tyrant's Monocle","11"
"Baron","carry","Sorrowblade","Aegis","11"
"Gwen","carry","Sorrowblade","Aegis","11"
"Gwen","carry","Sorrowblade","Blazing Salvo","11"
"Flicker","jungler","War Treads","Aftershock","11"
"Flicker","captain","War Treads","Eclipse Prism","11"
"Flicker","captain","Fountain of Renewal","Stormcrown","11"
"Lyra","captain","Atlas Pauldron","Fountain of Renewal","11"
"Lyra","captain","Contraption","Fountain of Renewal","11"
"Joule","jungler","Shatterglass","Broken Myth","11"
"Vox","carry","Aegis","Breaking Point","10"
"Vox","carry","Travel Boots","Aegis","10"
"Vox","carry","Breaking Point","Reflex Block","10"
"Celeste","carry","Shatterglass","Clockwork","10"
"Catherine","captain","Fountain of Renewal","Nullwave Gauntlet","10"
"Catherine","carry","Fountain of Renewal","Metal Jacket","10"
"Adagio","captain","Fountain of Renewal","Ironguard Contract","10"
"Adagio","captain","Fountain of Renewal","Coat of Plates","10"
"Adagio","captain","Travel Boots","Fountain of Renewal","10"
"Glaive","jungler","Halcyon Chargers","Sorrowblade","10"
"Glaive","jungler","Sorrowblade","Poisoned Shiv","10"
"Petal","jungler","Broken Myth","Frostburn","10"
"Petal","jungler","Frostburn","Eve of Harvest","10"
"SAW","carry","Sorrowblade","Barbed Needle","10"
"SAW","carry","Sorrowblade","Tornado Trigger","10"
"Krul","jungler","Sorrowblade","Breaking Point","10"
"Krul","jungler","Tornado Trigger","Travel Boots","10"
"Krul","jungler","Breaking Point","Bonesaw","10"
"Krul","jungler","Poisoned Shiv","Breaking Point","10"
"Taka","jungler","Shatterglass","Aftershock","10"
"SAW","captain","Sorrowblade","Serpent Mask","10"
"Taka","captain","Shatterglass","Clockwork","10"
"Skaarf","carry","Halcyon Chargers","Shatterglass","10"
"Ardan","captain",NULL,NULL,"10"
"Rona","carry","Serpent Mask","Coat of Plates","10"
"Rona","jungler","Serpent Mask","Metal Jacket","10"
"Rona","jungler",NULL,NULL,"10"
"Rona","jungler","Serpent Mask","Poisoned Shiv","10"
"Fortress","captain","Fountain of Renewal","Aftershock","10"
"Skye","carry","Frostburn","Broken Myth","10"
"Phinn","carry","Fountain of Renewal","Stormcrown","10"
"Kestrel","carry","Sorrowblade","Tornado Trigger","10"
"Skye","jungler","Frostburn","Reflex Block","10"
"Blackfeather","jungler","Serpent Mask","Journey Boots","10"
"Blackfeather","jungler","Travel Boots","Alternating Current","10"
"Ozo","jungler","Aftershock","Sprint Boots","10"
"Ozo","jungler","Travel Boots","Aftershock","10"
"Alpha","jungler","Sorrowblade","Tornado Trigger","10"
"Alpha","jungler","Aftershock","Halcyon Chargers","10"
"Baron","carry","Breaking Point","Sorrowblade","10"
"Gwen","carry","Sorrowblade","Halcyon Chargers","10"
"Gwen","carry","Tension Bow","Metal Jacket","10"
"Gwen","carry","Tension Bow","Aegis","10"
"Gwen","carry","Sorrowblade","Poisoned Shiv","10"
"Flicker","captain","Fountain of Renewal","Aftershock","10"
"Flicker","captain","Fountain of Renewal","Travel Boots","10"
"Lyra","captain","Eve of Harvest","Fountain of Renewal","10"
"Joule","jungler","Sorrowblade","Travel Boots","10"
"Joule","jungler","Shatterglass","Travel Boots","10"
"Vox","carry","Serpent Mask","Breaking Point","9"
"Vox","carry","Tyrant's Monocle","Tornado Trigger","9"
"Vox","carry","Sorrowblade","Travel Boots","9"
"Catherine","jungler","Sorrowblade","Lifespring","9"
"Ringo","carry","Sorrowblade","Coat of Plates","9"
"Ringo","carry","Breaking Point","Aegis","9"
"Ringo","carry","Breaking Point","Travel Boots","9"
"Ringo","carry","Sorrowblade","Tension Bow","9"
"Ringo","jungler","Travel Boots","Sorrowblade","9"
"Koshka","jungler","Aegis","Halcyon Chargers","9"
"Koshka","jungler","Shatterglass","Atlas Pauldron","9"
"Adagio","captain","Crucible","Fountain of Renewal","9"
"Glaive","carry","Sorrowblade","Poisoned Shiv","9"
"SAW","carry","Serpent Mask","Sprint Boots","9"
"Glaive","jungler","Heavy Steel","Blazing Salvo","9"
"Petal","jungler","Frostburn","Aegis","9"
"Petal","jungler","Alternating Current","Stormcrown","9"
"Glaive","captain","Fountain of Renewal","Atlas Pauldron","9"
"SAW","carry","Sprint Boots","Serpent Mask","9"
"Krul","jungler","Tornado Trigger","Tyrant's Monocle","9"
"Krul","jungler","Travel Boots","Sorrowblade","9"
"Krul","jungler","Tornado Trigger","Sprint Boots","9"
"Taka","jungler","Broken Myth","Aftershock","9"
"Taka","jungler","Sorrowblade","Tornado Trigger","9"
"Skaarf","carry","Eve of Harvest","Halcyon Chargers","9"
"Skaarf","carry","Eve of Harvest","Aegis","9"
"Ardan","captain","Tension Bow","Fountain of Renewal","9"
"Ardan","captain","Fountain of Renewal","Flare Gun","9"
